index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,xpix,ypix,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag,parallax_mas,radial_velocity_kms
629,2542270964471441152,5.3637568336,-0.2353762326,00:21:27.3,-00:14:07.4,2965.004,3967.185,5.3638353270,-0.2352110007,-26.28886,-55.33962,16.8536,18.6165,15.5994,6.06906,nan
630,2542205371730994560,6.0276914789,-0.4800414410,00:24:06.6,-00:28:48.1,574.819,3086.306,6.0276865854,-0.4800299855,1.63888,-3.83670,16.8539,17.1929,16.3416,0.15709,nan
631,2542234405709798016,5.0749411065,-0.5905054389,00:20:18.0,-00:35:25.8,4004.669,2688.597,5.0749178565,-0.5904881337,7.78650,-5.79585,16.8601,16.9481,16.6467,0.12532,nan
632,2542166235988910592,5.5220677767,-0.8079063064,00:22:05.3,-00:48:28.5,2395.033,1906.035,5.5220434087,-0.8078977856,8.16055,-2.85379,16.8679,17.4308,16.1713,0.84372,nan
633,2542245675704003328,5.3203887629,-0.3432618693,00:21:16.9,-00:20:35.7,3121.113,3578.766,5.3203966207,-0.3432484950,-2.63168,-4.47935,16.8680,17.2211,16.3553,0.41275,nan
634,2542171664827610240,5.7456278418,-0.7097970543,00:22:59.0,-00:42:35.3,1590.282,2259.221,5.7453996499,-0.7097256366,76.42039,-23.91931,16.8743,18.7108,15.4509,13.87971,nan
635,2542255777467163904,5.8399384606,-0.4097673691,00:23:21.6,-00:24:35.2,1250.724,3339.336,5.8399195151,-0.4097932772,6.34509,8.67716,16.8754,17.5425,16.0969,1.03420,nan
636,2542260381672088832,5.6920793409,-0.3320009751,00:22:46.1,-00:19:55.2,1783.011,3619.319,5.6920694570,-0.3319005027,3.31027,-33.65032,16.8758,18.1559,15.7581,3.13132,nan
637,2542197228472990464,5.9427268403,-0.5751408691,00:23:46.3,-00:34:30.5,880.726,2743.955,5.9427110670,-0.5751385560,5.28253,-0.77473,16.8772,17.2655,16.3095,0.46611,nan
638,2542206196364715136,6.0066688467,-0.4604582643,00:24:01.6,-00:27:37.6,650.496,3156.814,6.0066571928,-0.4604312652,3.90299,-9.04256,16.8790,17.2102,16.3917,0.42867,nan
639,2541952690214640384,5.7532651841,-1.2273462312,00:23:00.8,-01:13:38.4,1562.859,395.992,5.7533066185,-1.2272952337,-13.87406,-17.08014,16.8819,17.6482,16.0264,1.53675,nan
640,2542174963362492160,5.7013155477,-0.6739141044,00:22:48.3,-00:40:26.1,1749.792,2388.405,5.7013031720,-0.6739046885,4.14461,-3.15359,16.8826,17.2342,16.3790,0.43797,nan
641,2542153694684779392,5.8086914511,-0.8919739701,00:23:14.1,-00:53:31.1,1363.300,1603.368,5.8086637402,-0.8919602284,9.27982,-4.60236,16.8889,17.8433,15.9196,1.57498,nan
642,2543765097694066816,5.9336671208,-0.1404198004,00:23:44.1,-00:08:25.5,913.219,4309.057,5.9336560025,-0.1404078713,3.72373,-3.99532,16.8974,17.7783,15.9824,1.39935,nan
643,2542164655440921472,5.3135084110,-0.8940171413,00:21:15.2,-00:53:38.5,3145.761,1596.000,5.3134879355,-0.8939631806,6.85685,-18.07256,16.8983,17.2062,16.4212,0.37341,nan
644,2543762898670813184,6.1061179743,-0.1408983444,00:24:25.5,-00:08:27.2,292.329,4307.323,6.1060607163,-0.1409001778,19.17684,0.61404,16.9029,18.0283,15.8449,2.36622,nan
645,2542248665001286144,5.6350898564,-0.4930217643,00:22:32.4,-00:29:34.9,1988.181,3039.626,5.6350881820,-0.4930144951,0.56078,-2.43461,16.9044,17.2665,16.3790,0.46149,nan
646,2541960558594757888,6.0966783745,-1.0002225103,00:24:23.2,-01:00:00.8,326.670,1213.550,6.0966794785,-1.0002267094,-0.36971,1.40636,16.9046,nan,nan,1.78811,nan
647,2542239211777061248,5.2325836196,-0.5339272004,00:20:55.8,-00:32:02.1,3437.168,2892.328,5.2325860445,-0.5339164691,-0.81211,-3.59416,16.9103,17.6065,16.1302,1.01534,nan
648,2542165445714930432,5.4591135532,-0.8851337722,00:21:50.2,-00:53:06.5,2621.638,1628.009,5.4591278266,-0.8851153607,-4.77991,-6.16640,16.9140,17.2355,16.4396,0.37690,nan
649,2542255055912619520,5.6263055811,-0.3691613613,00:22:30.3,-00:22:09.0,2019.800,3485.537,5.6261120690,-0.3691045319,64.80991,-19.03335,16.9147,18.4703,15.7046,3.88535,nan
650,2541963754050449664,6.0087158770,-0.9851450316,00:24:02.1,-00:59:06.5,643.306,1267.877,6.0086356023,-0.9851362757,26.88173,-2.93255,16.9151,17.7539,16.0324,1.52948,nan
651,2541950285032978048,5.8536063354,-1.2309638092,00:23:24.9,-01:13:51.5,1201.696,382.939,5.8535930847,-1.2309794196,4.43694,5.22825,16.9196,18.2536,15.7867,2.42862,nan
652,2542123251955445120,5.1194485179,-0.7875172597,00:20:28.7,-00:47:15.1,3844.364,1979.343,5.1194454666,-0.7874666386,1.02183,-16.95404,16.9209,18.1060,15.8392,2.53153,nan
653,2542213618068092544,5.2396222258,-0.7852160024,00:20:57.5,-00:47:06.8,3411.758,1987.670,5.2396021640,-0.7852215712,6.71849,1.86511,16.9259,17.7091,16.0342,0.88280,nan
654,2542206643041313664,6.0193559545,-0.4245449919,00:24:04.6,-00:25:28.4,604.809,3286.106,6.0193533431,-0.4244872632,0.87458,-19.33459,16.9260,17.6868,16.0777,1.27023,nan
655,2542205543529691648,6.0681439296,-0.4604160813,00:24:16.4,-00:27:37.5,429.177,3156.952,6.0681359053,-0.4603778532,2.68741,-12.80340,16.9284,17.9280,15.9413,2.00297,nan
656,2542224681903890304,5.5326900400,-0.5489287999,00:22:07.8,-00:32:56.1,2356.808,2838.358,5.5326975190,-0.5489182637,-2.50477,-3.52879,16.9368,17.3225,16.3606,0.53384,nan
657,2542154484958408448,5.7210493248,-0.9485779886,00:22:53.1,-00:56:54.9,1678.784,1399.607,5.7210029251,-0.9485588239,15.53811,-6.41867,16.9411,17.8527,16.0027,1.01788,nan
658,2542053463030917632,5.1296520987,-1.3086165272,00:20:31.1,-01:18:31.0,3807.439,103.262,5.1296213751,-1.3086197245,10.28729,1.07084,16.9513,17.4235,16.3333,0.58776,nan
659,2542245881862433664,5.2551149428,-0.3744305758,00:21:01.2,-00:22:28.0,3356.098,3466.545,5.2551050771,-0.3744287564,3.30416,-0.60938,16.9558,17.3559,16.3790,0.11867,nan
660,2542248493202594432,5.6349405004,-0.4965060056,00:22:32.4,-00:29:47.4,1988.719,3027.083,5.6348824008,-0.4964891829,19.45806,-5.63429,16.9567,17.5595,16.2253,0.86058,nan
661,2542187126709929856,6.1781685045,-0.6252776495,00:24:42.8,-00:37:31.0,33.141,2563.381,6.1781509411,-0.6252345409,5.88200,-14.43798,16.9570,17.3201,16.4307,0.31462,nan
662,2542039929589908096,5.3430056895,-1.2916719088,00:21:22.3,-01:17:30.0,3039.502,164.377,5.3430056770,-1.2916510834,0.00418,-6.97485,16.9573,17.2922,16.4667,0.26234,nan
663,2542203447585634944,6.0079818045,-0.5378737670,00:24:01.9,-00:32:16.3,645.796,2878.105,6.0079401888,-0.5379110432,13.93737,12.48457,16.9594,17.6158,16.1817,0.99211,nan
664,2541937709368724736,6.0240758408,-1.2565724229,00:24:05.8,-01:15:23.7,588.110,290.657,6.0240868881,-1.2565509381,-3.69907,-7.19573,16.9616,17.2769,16.4866,0.44287,nan
665,2542164895959090176,5.3624906353,-0.8780413537,00:21:27.0,-00:52:40.9,2969.445,1653.526,5.3624685004,-0.8780204026,7.41258,-7.01695,16.9617,17.6328,16.1705,1.09929,nan
666,2542044258916931072,5.2605798809,-1.2354539327,00:21:02.5,-01:14:07.6,3336.196,366.748,5.2605311040,-1.2354469273,16.33259,-2.34624,16.9629,17.9231,15.9926,1.63664,nan
