field,source_id,RA,Dec,mag_nb,mag_bb,line_flux_erg_cm2_s,logL_Lya_erg_s,area_arcsec2,priority
j0140,161,24.80097233998082,2.7145347482313427,21.743656,22.879536,9.650955763913614e-16,43.57031443409521,162.76386680414734,1
j0140,270,25.53954459392276,2.897593213795227,18.83405,19.585085,1.0831924747793275e-14,44.62044974329415,123.48137666320795,1
j0140,375,24.93976330366064,3.096576609661054,23.994865,25.151964,1.2263497459841855e-16,42.67435845455904,90.49046381639576,1
j0140,208,24.99264586750169,2.78426965720423,22.943388,24.426971,3.6708315985534654e-16,43.15050857055909,87.55724549958977,1
j0140,340,25.14474464701792,3.0019131716664686,22.532562,23.687424,4.71047375308318e-16,43.25880869733321,79.1131816635146,1
j0140,398,25.044386307299,3.14020748225129,23.860819,24.938791,1.332376931105569e-16,42.71037121377003,76.86949748010147,1
j0140,186,25.060675032100058,2.7570015578716465,22.84185,24.64745,4.3848047291908757e-16,43.22769436656837,70.5131581761094,1
j0140,295,25.02640543555708,2.93429548284648,23.89665,24.778814,1.1391625219274355e-16,42.64232979748175,64.32922452939427,1
j0140,159,25.42378162650545,2.715870430927364,24.805134,99.0,8.869903612837108e-17,42.53366300958071,64.32569892450222,1
j0140,78,24.99864652622781,2.4956150968278576,24.344366,99.0,1.3558951287838356e-16,42.71797020958071,62.49076256408058,1
j0140,325,24.879135754816083,2.9808794891230166,24.426378,25.639479,8.459279881217411e-17,42.51307750323503,62.24750569740453,1
j0140,431,25.047536906203376,3.214346327548055,21.620977,22.49053,9.178851200593566e-16,43.54853243861644,61.47540760624008,1
j0140,190,24.90991611371284,2.7656047932002608,22.72646,23.925922,4.0236751712688444e-16,43.190367022246015,60.69224041630382,1
j0140,304,25.254681755288267,2.9561418210164647,24.525953,99.0,1.1470736420723921e-16,42.64533540958071,60.20166111498892,1
j0140,139,24.822044572787533,2.663604724122297,23.562767,24.823544,1.9131825964366715e-16,42.86750053069018,60.14211738388467,1
