_RAJ2000,_DEJ2000,Epoch,Source,Type,Priority,pmRA,pmDE,Gmag
25.4926822625933,2.5204713050842,J2000,2512260825382224896,T,9,-0.024941,-0.031801,17.33
25.5593569718586,2.5469644235874,J2000,2512266666537746944,T,9,0.006649,6e-06,16.62
25.5802278324201,2.5750317960838,J2000,2512267181933822080,T,9,-0.001667,-0.00916,17.45
25.2771101977752,2.4455988526277,J2000,2560297526327027968,T,9,0.033943,-0.013487,16.75
25.3156741771146,2.4743675352283,J2000,2560298041723102848,T,9,0.022975,-0.00827,17.04
25.3098717064883,2.4964562311934,J2000,2560298144802317696,T,9,0.003997,-0.000647,16.65
25.3612871332337,2.5362126391768,J2000,2560299892853773056,T,9,0.007094,-0.004961,17.16
25.4068747292539,2.6034090688831,J2000,2560300751847248128,T,9,0.030576,-0.006516,16.61
25.2670175113971,2.5171082066218,J2000,2560301335962781952,T,9,0.009195,-0.028817,17.13
25.2542442689251,2.5525192335123,J2000,2560301821294322048,T,9,-0.022731,-0.021545,17.03
25.1846686237757,2.5255143644657,J2000,2560301993092986368,T,9,-0.001398,-0.001845,16.58
25.2126861738392,2.5953503520966,J2000,2560302920805948544,T,9,0.001296,-0.000853,16.7
25.3148841999132,2.5872760662832,J2000,2560303401842285824,T,9,0.000807,-0.000843,17.3
25.3491737418064,2.6376809729308,J2000,2560304054677313664,T,9,-0.01476,-0.004133,16.81
25.2963907950411,2.6297197468347,J2000,2560304703217167360,T,9,0.007256,-0.006723,17.18
25.3126493351835,2.6594531902808,J2000,2560305046814561792,T,9,0.011692,-0.004143,17.03
25.476616942957,2.5616848371184,J2000,2560305252972963840,T,9,0.006229,-0.013142,17.4
25.4926028613468,2.5731425681408,J2000,2560305390411919744,T,9,0.008002,-0.008169,16.52
25.5342640830011,2.5888543806742,J2000,2560305734009308416,T,9,0.011773,-0.005498,16.54
25.4422218633493,2.5846902616546,J2000,2560306283765121280,T,9,0.004666,-0.018299,17.5
25.4734276427142,2.6431443217465,J2000,2560307112694027904,T,9,0.012715,-0.003075,17.04
25.4596995568869,2.6534192659154,J2000,2560307177118337664,T,9,3.1e-05,-0.002355,17.28
25.5926097765357,2.659029622209,J2000,2560307628090129664,T,9,-0.000349,-0.002169,16.65
25.5833568268203,2.6933326395681,J2000,2560309032544224256,T,9,0.000732,-0.001198,16.9
25.4047560638863,2.6417907960266,J2000,2560309685379234304,T,9,-0.001464,-0.004738,16.58
25.4391104817512,2.6737211740695,J2000,2560310239430217856,T,9,0.007367,-0.015584,16.73
25.4914440501234,2.7147734104476,J2000,2560311888697658112,T,9,-0.002279,-0.007872,16.59
25.5017833192865,2.7705161147646,J2000,2560312713331377536,T,9,-0.023311,-0.036806,17.3
25.1781300014637,2.5996061953071,J2000,2560314633181548032,T,9,0.006391,0.006682,17.31
25.1699671521477,2.5915227909646,J2000,2560314603116966656,T,9,0.000619,-0.001408,16.61
25.1975865306579,2.6190222955751,J2000,2560314770620505600,T,9,0.012815,-0.005362,17.46
25.2033262282939,2.6583014103205,J2000,2560316557326914944,T,9,0.03212,-0.002956,17.37
25.2013965776533,2.7397428783519,J2000,2560318210889491456,T,9,0.004696,-0.004395,16.57
25.1225586635965,2.7417378149265,J2000,2560321062747802240,T,9,0.021025,-0.013646,17.21
25.1596865663422,2.7641239458908,J2000,2560321505129281920,T,9,-0.001256,-0.002843,16.96
25.1339684163516,2.7608718392698,J2000,2560321853021758080,T,9,0.00882,-0.013498,17.17
25.4558502249605,2.8298728134558,J2000,2560325731377131392,T,9,0.021368,-0.012766,17.44
25.4189206895675,2.8417694720861,J2000,2560325903175826816,T,9,-0.000489,-0.002255,17.41
25.3428915737881,2.8526558188736,J2000,2560326556010862336,T,9,0.0031,0.001045,17.2
25.2425482128011,2.8041477244637,J2000,2560327415004300288,T,9,6.5e-05,-0.004415,16.61
25.2044499108759,2.8285423634249,J2000,2560328415731784832,T,9,0.004755,-0.005404,16.91
25.215891370273,2.8500330958067,J2000,2560328896768121344,T,9,0.004633,0.005354,16.6
25.2924028822941,2.8739047513727,J2000,2560329682747065600,T,9,0.014406,-0.009709,16.77
25.3435734567157,2.8862801628929,J2000,2560329991984717696,T,9,0.011115,0.00109,16.8
