_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
005.5370584337864	-00.6890729869613	005.53704934442	0.0895	-00.68908795417	0.0653	2542174207448208384	0.3522	0.1046	-2.111	0.233	-3.476	0.155	0	2.4480e+03	1.6705e+00	17.2163	0.0007	1.1950e+03	6.0861e+00	17.6580	0.0055	1.8112e+03	5.6935e+00	16.6170	0.0034	1.0410							
005.6276894853768	-00.7239966730136	005.62782380594	0.0691	-00.72418336475	0.0496	2542174344887182592	3.7829	0.0863	31.195	0.194	-43.361	0.118	0	3.8299e+03	2.4241e+00	16.7304	0.0007	8.1669e+02	4.4455e+00	18.0712	0.0059	4.7293e+03	6.7489e+00	15.5749	0.0015	2.4963			3894.50	0.4517	0.2395		
005.6024753342672	-00.7178690328969	005.60248374439	0.0991	-00.71782434457	0.0683	2542174516685874176	4.4137	0.1284	1.953	0.282	10.379	0.164	0	2.0772e+03	1.7589e+00	17.3946	0.0009	4.2861e+02	4.0232e+00	18.7712	0.0102	2.5975e+03	5.7054e+00	16.2255	0.0024	2.5457							
005.7012835688907	-00.6738911296645	005.70130257826	0.0773	-00.67390426706	0.0580	2542174963362492160	0.3876	0.1016	4.415	0.206	-3.051	0.120	0	3.2962e+03	2.3508e+00	16.8933	0.0008	1.7340e+03	5.3451e+00	17.2538	0.0033	2.2761e+03	7.3382e+00	16.3689	0.0035	0.8848			5842.00	0.1367	0.0690		
005.7442066170701	-00.6718595893067	005.74421022039	0.1110	-00.67185188668	0.0846	2542195441766559872	0.6656	0.1374	0.837	0.284	1.789	0.187	0	2.0249e+03	1.7911e+00	17.4224	0.0010	9.4525e+02	7.1519e+00	17.9125	0.0082	1.5501e+03	4.9056e+00	16.7860	0.0034	1.1265							
005.7379908204958	-00.5903057808756	005.73798564269	0.0935	-00.59030241867	0.0669	2542199354480034432	0.6844	0.1298	-1.203	0.284	0.781	0.150	0	2.7004e+03	2.1183e+00	17.1098	0.0009	1.1952e+03	7.9016e+00	17.6578	0.0072	2.1780e+03	9.0482e+00	16.4168	0.0045	1.2410							
005.8230133276736	-00.5207594950701	005.82302335425	0.0720	-00.52078321336	0.0545	2542201557800022016	0.4633	0.0949	2.329	0.205	-5.509	0.131	0	4.0225e+03	2.7694e+00	16.6771	0.0007	2.1770e+03	8.6572e+00	17.0068	0.0043	2.6988e+03	6.3069e+00	16.1840	0.0025	0.8228			5837.33	0.0425	0.0170		
005.6066227448155	-00.6050181351079	005.60662943638	0.0834	-00.60503659665	0.0606	2542223307514373120	0.0614	0.1090	1.554	0.247	-4.288	0.141	0	2.3524e+03	1.7636e+00	17.2596	0.0008	1.2822e+03	1.0873e+01	17.5815	0.0092	1.5716e+03	5.6199e+00	16.7711	0.0039	0.8104							
005.5327082968630	-00.5489026375432	005.53269784244	0.0781	-00.54891780001	0.0565	2542224681903890304	0.3485	0.1072	-2.428	0.239	-3.522	0.127	0	3.1364e+03	2.2114e+00	16.9473	0.0008	1.6015e+03	6.5339e+00	17.3401	0.0044	2.2978e+03	5.5723e+00	16.3587	0.0026	0.9814			5324.00	0.5238	0.2530		
005.3945979871370	-00.6131337636557	005.39459393384	0.1365	-00.61314396614	0.0997	2542225437818111232	0.3765	0.1698	-0.941	0.358	-2.370	0.225	0	4.5054e+03	3.4322e+00	16.5540	0.0008	2.3015e+03	9.9026e+00	16.9464	0.0047	3.3322e+03	6.1849e+00	15.9551	0.0020	0.9913			5324.00	0.6660	0.3423		
