_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
005.3142276726308	-00.9456472296856	005.31436102748	0.0742	-00.94568630763	0.0535	2542069753842816128	1.6007	0.0881	30.969	0.180	-9.076	0.117	0	3.7134e+03	3.0244e+00	16.7640	0.0009	1.2660e+03	8.3993e+00	17.5953	0.0072	3.6270e+03	8.5410e+00	15.8631	0.0026	1.7322			4167.33	0.2000	0.1180	0.56	0.086
005.0332556554090	-00.8406754698813	005.03331695108	0.0733	-00.84079354954	0.0494	2542121156011386240	0.5031	0.0850	14.235	0.176	-27.425	0.115	0	3.6227e+03	3.3596e+00	16.7908	0.0010	1.9274e+03	9.7763e+00	17.1389	0.0055	2.4806e+03	8.4133e+00	16.2755	0.0037	0.8634			5773.00	0.0523	0.0233		
005.1194401973287	-00.7873919917060	005.11944532230	0.0797	-00.78746430235	0.0558	2542123251955445120	2.4539	0.0928	1.190	0.201	-16.795	0.129	0	3.1468e+03	2.9670e+00	16.9437	0.0010	7.7676e+02	5.5912e+00	18.1257	0.0078	3.6651e+03	8.1452e+00	15.8517	0.0024	2.2740			4047.47	0.4398	0.1690		
005.3134566090856	-00.8938831355066	005.31348698024	0.0848	-00.89396066985	0.0598	2542164655440921472	0.3626	0.1030	7.053	0.225	-18.008	0.147	0	3.2443e+03	2.9209e+00	16.9106	0.0010	1.8006e+03	7.0848e+00	17.2128	0.0043	2.1534e+03	6.7130e+00	16.4291	0.0034	0.7837			5924.50	0.0180	0.0105		
005.3624352393673	-00.8779891244734	005.36246747357	0.0778	-00.87801943068	0.0577	2542164895959090176	1.0651	0.0930	7.486	0.198	-7.039	0.123	0	3.0446e+03	2.2555e+00	16.9796	0.0008	1.2035e+03	1.1657e+01	17.6503	0.0105	2.7129e+03	7.1581e+00	16.1783	0.0029	1.4720			4536.74	0.0320	0.0260	0.59	0.134
005.3818783699138	-00.8623055246075	005.38191403832	0.0714	-00.86231411659	0.0526	2542165033398043392	0.2618	0.0869	8.283	0.184	-1.996	0.122	0	3.5331e+03	2.5808e+00	16.8180	0.0008	1.9330e+03	1.0479e+01	17.1358	0.0059	2.3499e+03	5.3019e+00	16.3343	0.0024	0.8015			5882.33				
005.4502078229927	-00.7819081679097	005.45020535905	0.0803	-00.78192726017	0.0616	2542167507299227648	0.2546	0.0944	-0.572	0.180	-4.434	0.134	0	4.6302e+03	3.4168e+00	16.5244	0.0008	2.3923e+03	1.0875e+01	16.9044	0.0049	3.3068e+03	7.0053e+00	15.9634	0.0023	0.9410			5250.00	1.6980	0.8380		
005.3138141614424	-00.8109630848918	005.31402641386	0.0718	-00.81093129013	0.0535	2542212587275943424	4.7486	0.0880	49.292	0.186	7.385	0.131	0	3.7322e+03	3.6142e+00	16.7584	0.0011	8.2347e+02	9.6709e+00	18.0623	0.0128	4.5603e+03	8.0428e+00	15.6144	0.0019	2.4478			3596.67	0.0470	0.0270		
005.2937159748983	-00.7855442542320	005.29375789179	0.0824	-00.78555381113	0.0667	2542213411909663232	1.3951	0.1035	9.735	0.179	-2.220	0.123	0	3.8426e+03	2.9560e+00	16.7268	0.0008	1.4584e+03	9.7072e+00	17.4417	0.0072	3.4760e+03	6.0321e+00	15.9092	0.0019	1.5324			4414.33	0.2260	0.1190	0.55	0.104
005.2395711503549	-00.7852296912160	005.23960126014	0.0812	-00.78522181729	0.0595	2542213618068092544	0.9987	0.1028	6.993	0.207	1.829	0.129	0	3.1704e+03	3.0659e+00	16.9356	0.0010	1.1211e+03	6.6301e+00	17.7273	0.0064	3.0733e+03	8.1708e+00	16.0429	0.0029	1.6844			4247.24			0.79	0.181
005.3510355302252	-00.7630628693514	005.35105916403	0.0645	-00.76304546039	0.0500	2542214305262869248	1.9983	0.0784	5.489	0.154	4.043	0.112	0	4.1984e+03	2.9623e+00	16.6307	0.0008	1.3106e+03	8.1654e+00	17.5577	0.0068	4.3090e+03	7.7186e+00	15.6760	0.0019	1.8818			3857.00	0.0260	0.0130	0.62	0.076
