_RAJ2000,_DEJ2000,Epoch,Source,Type,Priority,pmRA,pmDE,Gmag
345.1757171892729,13.6236338396806,J2000,2815164557868382080,T,9,-0.005615,-0.007982,16.9
345.1791722861609,13.6563877580938,J2000,2815164768322477952,T,9,0.016487,-0.009092,16.51
345.1565473073143,13.6951962602834,J2000,2815168032497621120,T,9,0.000893,-0.008101,16.81
345.0946429300904,13.7222199386254,J2000,2815169166368985728,T,9,-0.019243,-0.027275,16.82
345.2554655671942,13.7528999248826,J2000,2815170025362485760,T,9,0.016096,-0.014406,16.75
345.2463752990446,13.7640501948316,J2000,2815170231520915712,T,9,-0.00123,-0.015492,16.83
345.2550233880911,13.8041502502925,J2000,2815171468471496320,T,9,0.01075,-0.008756,16.84
345.215379941308,13.8298866078854,J2000,2815171807773226880,T,9,-0.00074,-0.001569,16.8
344.8935397800473,13.6845572564364,J2000,2815912947330474496,T,9,-0.079585,-0.110247,16.56
344.9566287444227,13.6566499544999,J2000,2815913119129159296,T,9,-0.012637,-0.007212,16.67
344.9774077264739,13.641938046545,J2000,2815913050409679104,T,9,-0.009364,-0.011742,16.67
344.9756602752848,13.6773615216931,J2000,2815913462726547456,T,9,0.004929,0.008817,16.65
344.9916529771093,13.7479951775474,J2000,2815914944490045568,T,9,0.000502,-0.006282,16.71
344.9868212408214,13.7616127902868,J2000,2815915146353749376,T,9,0.004534,-0.004194,17.0
344.8639089653091,13.7026750116057,J2000,2815915936627717376,T,9,0.005301,-0.001302,16.51
344.9451702554492,13.7685237036269,J2000,2815918032571774080,T,9,-0.016381,0.00062,16.6
344.9403199240613,13.7837169487486,J2000,2815918208665195008,T,9,0.014749,-0.008226,16.66
344.9380112592942,13.8109759844263,J2000,2815918449183355520,T,9,0.000547,-0.000858,16.52
345.0588305798483,13.8336839842507,J2000,2815921713358501760,T,9,-0.004684,-0.004654,16.8
345.1444523494075,13.7972605791331,J2000,2815921850797458304,T,9,0.006368,0.001241,16.61
345.1180533223521,13.8322057121878,J2000,2815922228754578560,T,9,-0.002707,-0.007905,16.91
345.1534472179787,13.8402488150693,J2000,2815922293179362432,T,9,0.005966,-0.005006,16.88
345.0826339865324,13.8783301153593,J2000,2815923323971538560,T,9,-0.003617,0.000396,16.75
345.1610104930999,13.8842762038745,J2000,2815923530129972608,T,9,-0.001774,-0.004686,16.65
345.0330244204916,13.9499138080717,J2000,2815927584579152512,T,9,0.022888,-0.014146,16.76
345.003794545129,13.9409960612402,J2000,2815927653298621568,T,9,0.000487,-0.005224,16.76
345.0652089552307,13.9598260719978,J2000,2815927932471142144,T,9,0.002402,-0.008706,16.65
345.0258221380502,13.9717768074232,J2000,2815928237414193152,T,9,0.005857,0.000128,16.8
344.8324256864565,13.8379605467586,J2000,2815931265365738240,T,9,-0.00747,-0.002961,16.55
344.8600957021482,13.8558425563382,J2000,2815931329790562944,T,9,-0.001515,-0.003292,16.82
344.8393964124244,13.8667726670329,J2000,2815931608963120896,T,9,0.003531,0.000601,16.6
344.8876211873061,13.8694735122953,J2000,2815937239665572992,T,9,-0.010169,-0.008442,16.57
344.8860219459316,13.9279015324158,J2000,2815937755061693312,T,9,-0.01065,-0.004535,16.6
344.9288015311967,13.9144270773338,J2000,2815937793716053376,T,9,0.00562,0.00131,16.83
344.9366445991141,13.9367003194588,J2000,2815937999874482432,T,9,0.005619,0.000416,16.52
344.8401339214163,13.935127275723,J2000,2815938442256464768,T,9,0.000685,-0.007016,16.89
344.8749369961874,13.9427160589791,J2000,2815938515270556928,T,9,0.003406,-0.003218,17.0
345.232066462567,13.8845529749537,J2000,2816016507581257088,T,9,-0.000804,-0.004178,16.95
345.1966460022456,13.9240685110718,J2000,2816017542668970752,T,9,0.005085,-0.004224,16.85
345.217204302059,13.936579791632,J2000,2816017675812368384,T,9,-0.000113,-0.004275,16.77
345.1984195748507,13.9718389844434,J2000,2816018401662427904,T,9,-0.004628,-0.00526,16.99
345.1069495892019,14.0114420558183,J2000,2816022112514168576,T,9,0.137607,-0.017556,16.74
345.133208999633,14.0393882565004,J2000,2816022520535522048,T,9,,,16.67
345.048799365231,14.0491937801527,J2000,2816034305925786880,T,9,0.01018,-0.00193,16.58
