,RA,Dec,Epoch,source_id,Type,priority,Redshift,line_flux_erg_cm2_s
0,5.6209533020126825,-0.5459108275014172,J2026.10,607,T,1,3.2,4.931910300299671e-16
3,5.787738556137523,-0.351571207257618,J2026.10,740,T,1,3.2,1.4142142232472371e-16
5,5.66718846355432,-0.5377608091809823,J2026.10,618,T,1,3.2,4.0039035228751047e-16
9,5.511330053064698,-0.4018770497399916,J2026.10,676,T,1,3.2,1.7050788138750807e-16
10,5.6712160651498,-0.6659639522755798,J2026.10,452,T,1,3.2,1.3679151651675188e-16
11,5.689338880795054,-0.6849252384528055,J2026.10,424,T,2,3.2,6.852077110685644e-17
12,5.728297839072344,-0.3576826127615654,J2026.10,729,T,2,3.2,8.23654251827792e-17
31,5.613535458057261,-0.3907288434981572,J2026.10,691,T,2,3.2,5.532635947476174e-17
32,5.61477256258225,-0.5786071337476496,J2026.10,564,T,2,3.2,6.666252212367565e-17
33,5.411852789135442,-0.4090257932830959,J2026.10,666,T,2,3.2,4.613215298708299e-17
37,5.364504666074168,-0.393624238644478,J2026.10,686,T,2,3.2,6.897866833621971e-17
41,5.4769136447822655,-0.2927874999351254,J2026.10,807,T,2,3.2,1.1537193488711554e-16
42,5.638754066449661,-0.6309722582819021,J2026.10,495,T,2,3.2,3.775037420625343e-17
54,5.57396796213721,-0.3872541931451868,J2026.10,697,T,2,3.2,3.8291172355575056e-17
61,5.659733244543993,-0.312138937174577,J2026.10,785,T,2,3.2,7.035227454684626e-17
66,5.475670272627346,-0.4053050310377841,J2026.10,674,T,2,3.2,6.175677485922811e-17
70,5.492617527118454,-0.3055478360792995,J2026.10,792,T,2,3.2,1.198535160269289e-16
73,5.519947810733092,-0.5567665149404909,J2026.10,589,T,2,3.2,5.180309112107101e-17
78,5.510867455582174,-0.5764815611167778,J2026.10,568,T,2,3.2,4.6218950596839675e-17
84,5.699161852359948,-0.5335597523983917,J2026.10,625,T,2,3.2,5.94557385915322e-17
86,5.598552792869563,-0.2747795235053772,J2026.10,818,T,2,3.2,7.917501514937903e-17
89,5.559473318332386,-0.3204919004798497,J2026.10,773,T,2,3.2,4.1495086803243474e-17
90,5.5596009613710295,-0.3942336110193593,J2026.10,684,T,2,3.2,5.476235857960005e-17
92,5.463460716826179,-0.675459228200274,J2026.10,436,T,2,3.2,5.701807123446636e-17
93,5.483971201145199,-0.6988096966648937,J2026.10,410,T,2,3.2,4.757928300423323e-17
98,5.589930941808115,-0.6111803049118727,J2026.10,517,T,2,3.2,6.984517951472742e-17
100,5.550275535539582,-0.6402649220504518,J2026.10,487,T,2,3.2,4.466423716475844e-17
105,5.489435373283108,-0.4155264684732904,J2026.10,663,T,2,3.2,8.80614393369226e-17
107,5.632487886787037,-0.5469338416647018,J2026.10,604,T,2,3.2,5.808568969646254e-17
112,5.468495143688449,-0.3465309118850423,J2026.10,743,T,2,3.2,7.219802644782972e-17
114,5.514152182638934,-0.3329209439260688,J2026.10,762,T,2,3.2,4.324679679759407e-17
131,5.438656991852352,-0.5249872487475942,J2026.10,637,T,2,3.2,4.5630260815412667e-17
138,5.682874482479225,-0.3876371884680853,J2026.10,695,T,2,3.2,4.1048675866684185e-17
153,5.594916678373975,-0.3926137448281105,J2026.10,687,T,3,3.2,2.981055015534377e-17
155,5.402210110921968,-0.3672080052681846,J2026.10,722,T,3,3.2,3.126406444923078e-17
159,5.810916954791922,-0.5302365573759049,J2026.10,631,T,3,3.2,2.1524183694172577e-17
162,5.487287139589764,-0.5504322901206447,J2026.10,598,T,3,3.2,3.481547911447784e-17
166,5.737201052900389,-0.5686086158496255,J2026.10,574,T,3,3.2,1.5974863216172168e-17
167,5.397340838927239,-0.6187065999471433,J2026.10,510,T,3,3.2,3.497225181937146e-17
169,5.622220602458823,-0.3707868209482208,J2026.10,715,T,3,3.2,2.032788839093021e-17
170,5.388289574547011,-0.369302051870909,J2026.10,718,T,3,3.2,2.3728180324577908e-17
175,5.718420511065667,-0.4003298187557712,J2026.10,677,T,3,3.2,2.664026523118977e-17
176,5.638343369274332,-0.6123284487637067,J2026.10,516,T,3,3.2,3.1167266760065304e-17
177,5.440579336212069,-0.369818205137522,J2026.10,717,T,3,3.2,1.948114887200518e-17
183,5.56709949835812,-0.406058686185667,J2026.10,673,T,3,3.2,3.594779437670945e-17
206,5.71851328607778,-0.6576978991212763,J2026.10,460,T,3,3.2,2.34743602658686e-17
207,5.6165236477855,-0.5824818845331649,J2026.10,559,T,3,3.2,2.8709784798430956e-17
212,5.524418823866163,-0.4189931725975701,J2026.10,660,T,3,3.2,2.725069611743752e-17
214,5.5611876247266,-0.351508968881974,J2026.10,737,T,3,3.2,2.7526301597014893e-17
216,5.658328396350565,-0.4376168339023302,J2026.10,643,T,3,3.2,1.6450918657290948e-17
219,5.616581827688573,-0.3584439524044006,J2026.10,728,T,3,3.2,1.856610278253388e-17
221,5.474483461069568,-0.3152558648637861,J2026.10,780,T,3,3.2,2.2124405045874537e-17
225,5.5992586705775285,-0.6206525120788555,J2026.10,509,T,3,3.2,1.4784261586556384e-17
242,5.6161793803081945,-0.6561822037269087,J2026.10,462,T,3,3.2,2.6453481957285106e-17
