_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
005.1251973391076	-00.8107738975528	005.12523379418	0.0351	-00.81077171916	0.0242	2542122392961986432	2.4702	0.0409	8.466	0.092	0.506	0.053	1	1.4589e+05	2.5438e+01	12.7783	0.0002	8.0362e+04	6.3206e+01	13.0888	0.0009	9.5542e+04	5.0988e+01	12.3114	0.0006	0.7773			5948.50	0.0170	0.0087	0.91	0.936
005.1308414261343	-00.5632457103894	005.13087813553	0.0186	-00.56325687019	0.0144	2542235986257762560	0.5609	0.0229	8.526	0.049	-2.592	0.033	1	9.3719e+04	1.9628e+01	13.2588	0.0002	4.3142e+04	4.1028e+01	13.7641	0.0010	7.2541e+04	3.5398e+01	12.6105	0.0005	1.1537			4966.67			4.89	13.088
005.3848505474857	-00.5271150933370	005.38484464672	0.0372	-00.52713616777	0.0271	2542228392755608960	0.4360	0.0464	-1.370	0.089	-4.895	0.052	1	1.0214e+05	2.8147e+01	13.1654	0.0003	7.1024e+04	7.5406e+01	13.2229	0.0012	4.9907e+04	3.7664e+01	13.0165	0.0008	0.2064			8984.33	0.5357	0.2965		
005.4416833675151	-00.6497110928964	005.44165510148	0.0210	-00.64971360912	0.0160	2542222139283229056	1.1142	0.0252	-6.565	0.050	-0.584	0.033	0	7.8625e+04	1.3352e+01	13.4495	0.0002	4.4853e+04	3.9677e+01	13.7219	0.0010	4.9791e+04	3.4053e+01	13.0190	0.0007	0.7029			6310.00	0.1010	0.0380	1.31	2.455
