_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
025.1099050920908	+03.1403899099333	025.10992595699	0.0243	+03.14036530374	0.0209	2560396138776097792	1.9188	0.0292	4.839	0.052	-5.715	0.044	0	5.8587e+04	2.4270e+01	13.7689	0.0004	2.9826e+04	4.3361e+01	14.1649	0.0016	4.1092e+04	6.5202e+01	13.2275	0.0017	0.9374			5666.94	0.0590	0.0300	0.83	0.633
025.2872173513878	+03.0309765882995	025.28724037118	0.0240	+03.03099396543	0.0183	2560402323529033984	2.7070	0.0265	5.339	0.047	4.036	0.038	0	5.3895e+04	1.7799e+01	13.8595	0.0004	2.5324e+04	6.9295e+01	14.3425	0.0030	4.0860e+04	4.3660e+01	13.2337	0.0012	1.1089			5010.50	0.1705	0.0840	0.75	0.320
025.1336734578946	+02.8219295412223	025.13371225283	0.0257	+02.82191679856	0.0186	2560322746374954496	0.5435	0.0292	9.000	0.051	-2.960	0.040	0	7.9324e+04	2.1077e+01	13.4399	0.0003	3.7012e+04	5.1671e+01	13.9305	0.0015	6.0627e+04	5.8313e+01	12.8053	0.0010	1.1253			4938.35			4.71	11.873
024.9398704045024	+03.0683647437613	024.93986793390	0.0528	+03.06833639208	0.0404	2560394489508642688	0.7092	0.0692	-0.573	0.106	-6.585	0.072	0	6.5606e+04	1.7675e+02	13.6460	0.0029	4.1505e+04	3.3818e+02	13.8061	0.0088	3.6846e+04	3.1519e+02	13.3460	0.0093	0.4602			7639.60	0.1328	0.0852	1.30	5.188
