_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
344.5084634363221	+13.6707301180743	344.50848733583	0.0397	+13.67072499763	0.0341	2815904086812655232	0.6543	0.0433	5.394	0.082	-1.189	0.056	0	1.7823e+04	8.8619e+00	15.0609	0.0005	9.6919e+03	2.7911e+01	15.3854	0.0031	1.1940e+04	2.5685e+01	14.5694	0.0023	0.8160			5812.00	0.3910	0.1983	1.26	1.641
344.4634248285847	+13.7027718439932	344.46339292212	0.0402	+13.70274957085	0.0350	2815907282268300160	1.2147	0.0430	-7.200	0.085	-5.173	0.056	0	1.8761e+04	9.0298e+00	15.0052	0.0005	9.2502e+03	2.2624e+01	15.4360	0.0027	1.3620e+04	2.5968e+01	14.4265	0.0021	1.0095			5284.66	0.1640	0.0758	0.87	0.527
344.4548744454464	+13.7272703924239	344.45487337957	0.0406	+13.72725290960	0.0351	2815908141261759104	0.8904	0.0436	-0.240	0.084	-4.061	0.056	0	1.7831e+04	9.8581e+00	15.0604	0.0006	9.6136e+03	3.8864e+01	15.3942	0.0044	1.2114e+04	2.2264e+01	14.5537	0.0020	0.8404			5744.00	0.0857	0.0345	0.95	0.890
344.4687749202988	+13.8970808950998	344.46876098309	0.0461	+13.89704055247	0.0376	2815958821875868416	0.8189	0.0533	-3.142	0.081	-9.370	0.064	0	1.7387e+04	9.9382e+00	15.0878	0.0006	9.0226e+03	2.1607e+01	15.4631	0.0026	1.2151e+04	2.8435e+01	14.5504	0.0025	0.9127			5427.00	0.2760	0.1400	1.16	1.055
