_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
005.1359931089619	-00.9133469162020	005.13598915663	0.0485	-00.91338513951	0.0319	2542118235433627520	1.1866	0.0615	-0.918	0.144	-8.878	0.063	0	1.4491e+04	5.7612e+00	15.2856	0.0004	6.6467e+03	1.3169e+01	15.7949	0.0022	1.1236e+04	1.6306e+01	14.6354	0.0016	1.1595			4923.00	0.4200	0.2060	0.93	0.457
005.3228411905247	-00.8723104199239	005.32285876171	0.0422	-00.87234686463	0.0303	2542164792879874560	2.7560	0.0602	4.081	0.143	-8.465	0.066	0	1.4251e+04	5.7585e+00	15.3038	0.0004	4.7568e+03	1.1255e+01	16.1581	0.0026	1.3969e+04	1.3260e+01	14.3990	0.0010	1.7591			4023.50	0.8267	0.3960	0.72	0.122
005.2021109416369	-00.7307402622122	005.20214266033	0.1724	-00.73072497663	0.2015	2542217706876956544	0.6949	0.1285	7.366	0.386	3.550	0.547	0	1.3713e+04	3.5588e+01	15.3455	0.0028	1.3988e+04	1.3197e+02	14.9870	0.0102	1.8736e+04	2.2860e+02	14.0802	0.0132	0.9068			5095.63				
005.1213921664755	-00.6721097052909	005.12139216648	0.7950	-00.67210970529	0.5735	2542230076380988928							0	1.7292e+04	1.1015e+02	15.0938	0.0069	7.5564e+03	7.6612e+01	15.6556	0.0110	2.4534e+04	1.3292e+02	13.7875	0.0059	1.8681			4459.00				
