_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
005.5370584337864	-00.6890729869613	005.53704934442	0.0895	-00.68908795417	0.0653	2542174207448208384	0.3522	0.1046	-2.111	0.233	-3.476	0.155	0	2.4480e+03	1.6705e+00	17.2163	0.0007	1.1950e+03	6.0861e+00	17.6580	0.0055	1.8112e+03	5.6935e+00	16.6170	0.0034	1.0410							
005.7012835688907	-00.6738911296645	005.70130257826	0.0773	-00.67390426706	0.0580	2542174963362492160	0.3876	0.1016	4.415	0.206	-3.051	0.120	0	3.2962e+03	2.3508e+00	16.8933	0.0008	1.7340e+03	5.3451e+00	17.2538	0.0033	2.2761e+03	7.3382e+00	16.3689	0.0035	0.8848			5842.00	0.1367	0.0690		
005.7379908204958	-00.5903057808756	005.73798564269	0.0935	-00.59030241867	0.0669	2542199354480034432	0.6844	0.1298	-1.203	0.284	0.781	0.150	0	2.7004e+03	2.1183e+00	17.1098	0.0009	1.1952e+03	7.9016e+00	17.6578	0.0072	2.1780e+03	9.0482e+00	16.4168	0.0045	1.2410							
005.8230133276736	-00.5207594950701	005.82302335425	0.0720	-00.52078321336	0.0545	2542201557800022016	0.4633	0.0949	2.329	0.205	-5.509	0.131	0	4.0225e+03	2.7694e+00	16.6771	0.0007	2.1770e+03	8.6572e+00	17.0068	0.0043	2.6988e+03	6.3069e+00	16.1840	0.0025	0.8228			5837.33	0.0425	0.0170		
005.6066227448155	-00.6050181351079	005.60662943638	0.0834	-00.60503659665	0.0606	2542223307514373120	0.0614	0.1090	1.554	0.247	-4.288	0.141	0	2.3524e+03	1.7636e+00	17.2596	0.0008	1.2822e+03	1.0873e+01	17.5815	0.0092	1.5716e+03	5.6199e+00	16.7711	0.0039	0.8104							
005.5327082968630	-00.5489026375432	005.53269784244	0.0781	-00.54891780001	0.0565	2542224681903890304	0.3485	0.1072	-2.428	0.239	-3.522	0.127	0	3.1364e+03	2.2114e+00	16.9473	0.0008	1.6015e+03	6.5339e+00	17.3401	0.0044	2.2978e+03	5.5723e+00	16.3587	0.0026	0.9814			5324.00	0.5238	0.2530		
005.3945979871370	-00.6131337636557	005.39459393384	0.1365	-00.61314396614	0.0997	2542225437818111232	0.3765	0.1698	-0.941	0.358	-2.370	0.225	0	4.5054e+03	3.4322e+00	16.5540	0.0008	2.3015e+03	9.9026e+00	16.9464	0.0047	3.3322e+03	6.1849e+00	15.9551	0.0020	0.9913			5324.00	0.6660	0.3423		
005.3930113026471	-00.5595115559479	005.39302660862	0.0914	-00.55951041959	0.0652	2542226640408952960	0.4108	0.1188	3.555	0.258	0.264	0.168	0	2.7603e+03	1.8385e+00	17.0860	0.0007	1.2869e+03	6.2914e+00	17.5775	0.0053	2.1941e+03	5.7278e+00	16.4088	0.0028	1.1688							
005.6350843653025	-00.4930044630858	005.63508810860	0.0740	-00.49301416168	0.0504	2542248665001286144	0.4592	0.1008	0.869	0.245	-2.253	0.119	0	3.2289e+03	1.9723e+00	16.9157	0.0007	1.6684e+03	6.7962e+00	17.2956	0.0044	2.2511e+03	6.3012e+00	16.3809	0.0030	0.9147			5450.25	0.0140	0.0072		
005.6297422845442	-00.4757695970046	005.62973884979	0.0932	-00.47576564624	0.0679	2542248866863068416	1.0636	0.1351	-0.798	0.293	0.918	0.146	0	2.3598e+03	1.7981e+00	17.2562	0.0008	9.3645e+02	6.6188e+00	17.9227	0.0077	2.0422e+03	7.2391e+00	16.4866	0.0038	1.4360							
005.7266358101976	-00.3965633204132	005.72665235658	0.0616	-00.39658424441	0.0453	2542251104542730240	0.3562	0.0769	3.843	0.171	-4.860	0.112	0	4.1830e+03	2.7941e+00	16.6346	0.0007	2.0499e+03	8.8395e+00	17.0721	0.0047	3.0666e+03	7.6375e+00	16.0453	0.0027	1.0268			5113.47	0.8360	0.4165		
005.6743905694402	-00.3738677230981	005.67441091817	0.0787	-00.37390524956	0.0562	2542254162559422848	0.3769	0.1006	4.726	0.237	-8.716	0.133	0	2.6268e+03	2.1065e+00	17.1398	0.0009	1.4324e+03	6.7867e+00	17.4612	0.0051	1.7458e+03	5.8946e+00	16.6570	0.0037	0.8043							
005.8101655752559	-00.4245063164125	005.81018088813	0.0763	-00.42454566487	0.0558	2542255640028210688	0.7126	0.0955	3.556	0.200	-9.139	0.119	0	3.6417e+03	2.2126e+00	16.7851	0.0007	1.9035e+03	9.6551e+00	17.1525	0.0055	2.5741e+03	7.4754e+00	16.2354	0.0032	0.9172			5346.83	0.0990	0.0545	0.63	0.295
005.7875585432994	-00.3989180632983	005.78759616557	0.0840	-00.39890556619	0.0638	2542256086704807552	1.2112	0.1047	8.738	0.215	2.903	0.140	0	3.6233e+03	2.8255e+00	16.7906	0.0008	1.2485e+03	6.6548e+00	17.6104	0.0058	3.5342e+03	8.5308e+00	15.8912	0.0026	1.7192			3990.00			0.85	0.164
005.7944935000338	-00.3758525547446	005.79448631161	0.0705	-00.37586691625	0.0500	2542256876978789376	0.0241	0.0873	-1.670	0.189	-3.336	0.108	0	4.3415e+03	2.8764e+00	16.5943	0.0007	1.9732e+03	8.1420e+00	17.1135	0.0045	3.4384e+03	7.9761e+00	15.9210	0.0025	1.1925			4900.33				
