_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
005.7695126205919	-00.5622765921831	005.76952787586	0.0361	-00.56228263390	0.0270	2542200973684435072	1.8136	0.0462	3.543	0.104	-1.403	0.058	0	2.0719e+04	5.5456e+00	14.8974	0.0003	9.4879e+03	1.4786e+01	15.4085	0.0017	1.6129e+04	9.9784e+00	14.2429	0.0007	1.1656			4920.00	0.0080	0.0050	0.73	0.280
005.7664626034504	-00.4829049626372	005.76647466958	0.0373	-00.48293657780	0.0271	2542202622951893760	1.0501	0.0506	2.802	0.103	-7.343	0.058	0	1.6882e+04	5.0049e+00	15.1198	0.0003	8.2742e+03	1.3443e+01	15.5571	0.0018	1.2355e+04	1.2654e+01	14.5323	0.0011	1.0247			5099.74	0.2797	0.1435	1.04	0.654
005.5127954790413	-00.2924512197681	005.51278529459	0.0328	-00.29249412941	0.0245	2542267940814505088	0.5358	0.0424	-2.365	0.093	-9.966	0.052	0	1.9566e+04	5.1646e+00	14.9596	0.0003	1.0290e+04	1.4885e+01	15.3203	0.0016	1.3456e+04	1.1304e+01	14.4396	0.0009	0.8807			5719.00			1.67	2.701
005.4371766424481	-00.3012258338561	005.43716608622	0.0360	-00.30123726579	0.0275	2542269521362458624	0.8284	0.0467	-2.452	0.098	-2.655	0.059	0	1.4678e+04	4.2332e+00	15.2717	0.0003	7.9702e+03	1.0902e+01	15.5977	0.0015	9.8699e+03	1.2276e+01	14.7761	0.0014	0.8216			5830.00	0.0793	0.0320	0.90	0.842
