_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
005.3624352393673	-00.8779891244734	005.36246747357	0.0778	-00.87801943068	0.0577	2542164895959090176	1.0651	0.0930	7.486	0.198	-7.039	0.123	0	3.0446e+03	2.2555e+00	16.9796	0.0008	1.2035e+03	1.1657e+01	17.6503	0.0105	2.7129e+03	7.1581e+00	16.1783	0.0029	1.4720			4536.74	0.0320	0.0260	0.59	0.134
005.3818783699138	-00.8623055246075	005.38191403832	0.0714	-00.86231411659	0.0526	2542165033398043392	0.2618	0.0869	8.283	0.184	-1.996	0.122	0	3.5331e+03	2.5808e+00	16.8180	0.0008	1.9330e+03	1.0479e+01	17.1358	0.0059	2.3499e+03	5.3019e+00	16.3343	0.0024	0.8015			5882.33				
005.4502078229927	-00.7819081679097	005.45020535905	0.0803	-00.78192726017	0.0616	2542167507299227648	0.2546	0.0944	-0.572	0.180	-4.434	0.134	0	4.6302e+03	3.4168e+00	16.5244	0.0008	2.3923e+03	1.0875e+01	16.9044	0.0049	3.3068e+03	7.0053e+00	15.9634	0.0023	0.9410			5250.00	1.6980	0.8380		
005.2937159748983	-00.7855442542320	005.29375789179	0.0824	-00.78555381113	0.0667	2542213411909663232	1.3951	0.1035	9.735	0.179	-2.220	0.123	0	3.8426e+03	2.9560e+00	16.7268	0.0008	1.4584e+03	9.7072e+00	17.4417	0.0072	3.4760e+03	6.0321e+00	15.9092	0.0019	1.5324			4414.33	0.2260	0.1190	0.55	0.104
005.2395711503549	-00.7852296912160	005.23960126014	0.0812	-00.78522181729	0.0595	2542213618068092544	0.9987	0.1028	6.993	0.207	1.829	0.129	0	3.1704e+03	3.0659e+00	16.9356	0.0010	1.1211e+03	6.6301e+00	17.7273	0.0064	3.0733e+03	8.1708e+00	16.0429	0.0029	1.6844			4247.24			0.79	0.181
005.3510355302252	-00.7630628693514	005.35105916403	0.0645	-00.76304546039	0.0500	2542214305262869248	1.9983	0.0784	5.489	0.154	4.043	0.112	0	4.1984e+03	2.9623e+00	16.6307	0.0008	1.3106e+03	8.1654e+00	17.5577	0.0068	4.3090e+03	7.7186e+00	15.6760	0.0019	1.8818			3857.00	0.0260	0.0130	0.62	0.076
005.4204019384526	-00.7530856413182	005.42042105905	0.0636	-00.75309280712	0.0501	2542214511421314176	0.4004	0.0715	4.441	0.146	-1.664	0.115	0	4.3961e+03	2.6016e+00	16.5807	0.0006	2.2939e+03	7.0477e+00	16.9499	0.0033	3.0300e+03	5.8156e+00	16.0583	0.0021	0.8916			5580.50				
005.3220139715260	-00.7365624856160	005.32203257117	0.0709	-00.73659099165	0.0569	2542215336055010688	0.1516	0.0806	4.320	0.160	-6.621	0.128	0	3.7267e+03	2.7075e+00	16.7601	0.0008	1.9309e+03	1.0700e+01	17.1370	0.0060	2.6487e+03	7.9854e+00	16.2043	0.0033	0.9327			5263.40				
005.3945979871370	-00.6131337636557	005.39459393384	0.1365	-00.61314396614	0.0997	2542225437818111232	0.3765	0.1698	-0.941	0.358	-2.370	0.225	0	4.5054e+03	3.4322e+00	16.5540	0.0008	2.3015e+03	9.9026e+00	16.9464	0.0047	3.3322e+03	6.1849e+00	15.9551	0.0020	0.9913			5324.00	0.6660	0.3423		
005.1485880185092	-00.6638740451287	005.14858801851	2.4734	-00.66387404513	1.6885	2542230175168577152							1	4.3038e+03	4.4016e+01	16.6037	0.0111	2.6884e+03	2.5338e+01	16.7776	0.0102	4.0666e+03	1.2593e+01	15.7389	0.0034	1.0388			5215.18				
005.1718721172530	-00.6292879087889	005.17186737004	0.0805	-00.62929741762	0.0608	2542231725650207232	0.9528	0.0959	-1.103	0.206	-2.209	0.145	1	3.9280e+03	4.0443e+00	16.7029	0.0011	2.0916e+03	7.3722e+00	17.0502	0.0038	2.9775e+03	1.0329e+01	16.0773	0.0038	0.9729			5349.00	0.0400	0.0190		
005.0748831560537	-00.5904628440112	005.07491676696	0.0712	-00.59048732451	0.0539	2542234405709798016	0.1857	0.0837	7.806	0.171	-5.686	0.125	0	3.3506e+03	2.7030e+01	16.8756	0.0088	2.2748e+03	7.1240e+01	16.9591	0.0340	1.7707e+03	4.5682e+01	16.6415	0.0280	0.3175			8641.50	0.0710	0.0352		
005.2325894136855	-00.5339001935973	005.23258616393	0.0752	-00.53391597142	0.0575	2542239211777061248	1.0415	0.0876	-0.755	0.196	-3.665	0.136	0	3.1972e+03	2.2094e+00	16.9265	0.0008	1.2504e+03	8.2152e+00	17.6088	0.0071	2.8479e+03	8.2914e+00	16.1256	0.0032	1.4831			4600.50			0.60	0.144
