_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
025.0123724366618	+02.7503558515367	025.01237374062	0.0391	+02.75032311596	0.0312	2560367409739736576	0.5314	0.0425	0.303	0.101	-7.603	0.076	0	1.6440e+04	7.7711e+00	15.1486	0.0005	8.3984e+03	1.6654e+01	15.5409	0.0022	1.1666e+04	2.3242e+01	14.5946	0.0022	0.9463			5503.70	1.4983	0.7567	1.69	2.350
024.9219325265974	+02.9863719925132	024.92190962381	0.0644	+02.98634681552	0.0343	2560387308323325824	0.7801	0.0722	-5.312	0.101	-5.848	0.063	0	1.8307e+04	1.8224e+01	15.0318	0.0011	9.4450e+03	3.9813e+01	15.4134	0.0046	1.2648e+04	2.6241e+01	14.5069	0.0023	0.9065			5501.00	0.3365	0.1580	1.21	1.215
025.0712306487208	+03.0890936468917	025.07125385358	0.0490	+03.08910878187	0.0368	2560395485941070208	1.0917	0.0615	5.382	0.085	3.515	0.073	0	1.4071e+04	6.0677e+00	15.3175	0.0005	7.2658e+03	2.2681e+01	15.6982	0.0034	9.9246e+03	1.5884e+01	14.7701	0.0017	0.9280			5316.26	0.0247	0.0120	0.82	0.487
025.1672372683389	+03.1468246293581	025.16727704367	0.0383	+03.14682426072	0.0328	2560407924166357504	0.7656	0.0456	9.224	0.087	-0.086	0.068	0	1.3260e+04	6.7169e+00	15.3820	0.0005	6.9781e+03	1.9092e+01	15.7421	0.0030	9.0830e+03	2.5109e+01	14.8663	0.0030	0.8757			5578.75	0.1450	0.0720	1.02	0.907
