_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
025.2958993374466	+02.4327088552881	025.29589029983	0.0366	+02.43270463783	0.0321	2560296770412784128	2.1082	0.0426	-2.097	0.082	-0.980	0.070	0	1.5095e+04	6.7212e+00	15.2413	0.0005	5.3758e+03	2.3321e+01	16.0253	0.0047	1.4163e+04	2.2507e+01	14.3840	0.0017	1.6412			4269.00			0.80	0.191
025.2151186548921	+02.4791116200068	025.21509595843	0.0376	+02.47907810621	0.0280	2560300859221649152	1.1496	0.0397	-5.267	0.085	-7.784	0.059	0	1.7797e+04	8.5447e+00	15.0625	0.0005	8.9778e+03	2.3455e+01	15.4685	0.0028	1.2684e+04	2.3653e+01	14.5038	0.0020	0.9647			5356.33	0.0840	0.0413	0.86	0.553
025.2142703449343	+02.5213555308188	025.21429788534	0.0414	+02.52132779287	0.0325	2560301271538508800	0.4085	0.0450	6.390	0.092	-6.442	0.068	0	1.3860e+04	8.0543e+00	15.3340	0.0006	7.8409e+03	3.3226e+01	15.6155	0.0046	8.9085e+03	2.2875e+01	14.8874	0.0028	0.7281			6154.19	0.8820	0.4455	1.58	3.228
025.3140208634246	+02.6675442294611	025.31402706440	0.0452	+02.66752063262	0.0446	2560305085469463552	0.5378	0.0626	1.439	0.114	-5.481	0.100	0	1.5926e+04	9.3664e+00	15.1831	0.0006	8.3919e+03	2.7626e+01	15.5417	0.0036	1.0943e+04	1.8100e+01	14.6640	0.0018	0.8777			5681.71	0.7440	0.3690	1.53	2.189
