_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
025.5593569718586	+02.5469644235874	025.55938562704	0.0752	+02.54696445154	0.0495	2512266666537746944	0.7808	0.0779	6.649	0.157	0.006	0.103	0	4.2219e+03	3.8812e+00	16.6246	0.0010	1.8791e+03	9.8256e+00	17.1665	0.0057	3.3560e+03	1.6416e+01	15.9474	0.0053	1.2191			5001.75	0.2550	0.1270	0.73	0.302
025.3098717064883	+02.4964562311934	025.30988893076	0.0704	+02.49645344609	0.0599	2560298144802317696	0.2783	0.0812	3.997	0.163	-0.647	0.123	0	4.1216e+03	3.8189e+00	16.6507	0.0010	2.2329e+03	1.9626e+01	16.9792	0.0095	2.7557e+03	1.3209e+01	16.1614	0.0052	0.8179			5782.33	0.5585	0.2780		
025.1846686237757	+02.5255143644657	025.18466259949	0.0682	+02.52550642028	0.0520	2560301993092986368	0.7817	0.0737	-1.398	0.154	-1.845	0.100	0	4.3881e+03	3.8209e+00	16.5827	0.0009	2.1123e+03	1.3362e+01	17.0395	0.0069	3.2911e+03	3.1177e+01	15.9686	0.0103	1.0709			5106.09	0.1583	0.0822	0.71	0.307
025.2126861738392	+02.5953503520966	025.21269175941	0.0767	+02.59534667916	0.0574	2560302920805948544	0.4020	0.0814	1.296	0.182	-0.853	0.114	0	3.9221e+03	3.2969e+00	16.7046	0.0009	1.9920e+03	1.4582e+01	17.1032	0.0079	2.7542e+03	1.5947e+01	16.1619	0.0063	0.9412			5395.50	0.4370	0.2160		
025.4926028613468	+02.5731425681408	025.49263734915	0.0841	+02.57310739577	0.0616	2560305390411919744	1.2142	0.0921	8.002	0.183	-8.169	0.109	0	4.6473e+03	4.0721e+00	16.5204	0.0010	1.7022e+03	7.2721e+00	17.2739	0.0046	4.2734e+03	1.6786e+01	15.6850	0.0043	1.5889			4280.16	0.5720	0.2650	0.76	0.177
025.5833568268203	+02.6933326395681	025.58335998288	0.1088	+02.69332748276	0.0735	2560309032544224256	1.0384	0.1215	0.732	0.223	-1.198	0.146	0	3.2655e+03	3.0524e+00	16.9035	0.0010	1.3112e+03	2.3386e+01	17.5572	0.0194	2.7697e+03	7.3181e+00	16.1558	0.0029	1.4014			4526.46	0.1703	0.1035	0.63	0.152
025.4047560638863	+02.6417907960266	025.40474975561	0.0815	+02.64177039651	0.0625	2560309685379234304	1.7196	0.0957	-1.464	0.179	-4.738	0.119	0	4.3968e+03	4.7069e+00	16.5805	0.0012	1.4815e+03	1.3912e+01	17.4247	0.0102	4.2813e+03	1.6424e+01	15.6830	0.0042	1.7417			4165.67	0.2233	0.1160	0.57	0.089
025.4914440501234	+02.7147734104476	025.49143422595	0.0999	+02.71473951592	0.0665	2560311888697658112	0.7640	0.1250	-2.279	0.178	-7.872	0.111	0	4.3697e+03	4.8422e+00	16.5872	0.0012	1.9958e+03	9.3761e+00	17.1011	0.0051	3.3997e+03	9.7185e+00	15.9333	0.0031	1.1678			4948.00	0.1770	0.0945		
025.1699671521477	+02.5915227909646	025.16996982046	0.0668	+02.59151672929	0.0525	2560314603116966656	0.8589	0.0754	0.619	0.151	-1.408	0.101	0	4.2603e+03	3.5433e+00	16.6148	0.0009	1.8641e+03	2.0898e+01	17.1752	0.0122	3.4511e+03	9.9039e+00	15.9170	0.0031	1.2582			4967.34	0.2460	0.1190	0.68	0.254
025.2013965776533	+02.7397428783519	025.20141682004	0.0781	+02.73972395540	0.0513	2560318210889491456	0.0582	0.0851	4.696	0.153	-4.395	0.098	0	4.4387e+03	4.2232e+00	16.5702	0.0010	2.3155e+03	1.7044e+01	16.9398	0.0080	3.0933e+03	1.5769e+01	16.0359	0.0055	0.9039			5382.60				
025.1596865663422	+02.7641239458908	025.15968115288	0.1019	+02.76411170436	0.0701	2560321505129281920	0.1915	0.1062	-1.256	0.243	-2.843	0.137	0	3.0899e+03	3.3840e+00	16.9635	0.0012	1.6480e+03	1.4050e+01	17.3090	0.0093	2.0821e+03	1.0521e+01	16.4657	0.0055	0.8433			5757.33	1.1793	0.6170		
025.2425482128011	+02.8041477244637	025.24254849220	0.1441	+02.80412871624	0.0678	2560327415004300288	0.3712	0.1413	0.065	0.221	-4.415	0.127	0	4.2827e+03	4.6163e+00	16.6091	0.0012	2.2458e+03	1.3090e+01	16.9730	0.0063	2.9480e+03	1.5633e+01	16.0881	0.0058	0.8848			5727.00	0.3260	0.1727		
025.2044499108759	+02.8285423634249	025.20447041018	0.1418	+02.82851909642	0.0659	2560328415731784832	0.4988	0.1378	4.755	0.226	-5.404	0.120	0	3.2340e+03	4.1397e+00	16.9140	0.0014	1.4172e+03	1.0096e+01	17.4728	0.0077	2.5563e+03	1.4426e+01	16.2429	0.0061	1.2299			4819.50	0.7845	0.3865		
025.2158913702730	+02.8500330958067	025.21591134071	0.1397	+02.85005614859	0.0645	2560328896768121344	1.2151	0.1469	4.633	0.191	5.354	0.115	0	4.3064e+03	4.7011e+00	16.6031	0.0012	1.9260e+03	1.0351e+01	17.1398	0.0058	3.4336e+03	1.1995e+01	15.9225	0.0038	1.2172			4912.00	0.0940	0.0540		
