_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
005.6571502503621	-00.2701548984865	005.65712649710	0.0360	-00.27015608121	0.0247	2542273335293452928	0.7759	0.0474	-5.517	0.119	-0.275	0.059	0	1.2359e+05	3.1016e+01	12.9584	0.0003	6.0285e+04	5.0457e+01	13.4009	0.0009	9.0608e+04	4.8415e+01	12.3690	0.0006	1.0319			5151.55			3.70	8.692
005.8165297157597	-00.4616415697248	005.81649723284	0.0354	-00.46163076959	0.0276	2542202721734271616	1.7052	0.0462	-7.544	0.094	2.508	0.059	0	2.1696e+05	3.2555e+01	12.3474	0.0002	1.3115e+05	1.1135e+02	12.5570	0.0009	1.2832e+05	7.4120e+01	11.9912	0.0006	0.5658	-38.43	1.45	7099.75	0.1240	0.0620	1.13	2.903
005.3848505474857	-00.5271150933370	005.38484464672	0.0372	-00.52713616777	0.0271	2542228392755608960	0.4360	0.0464	-1.370	0.089	-4.895	0.052	1	1.0214e+05	2.8147e+01	13.1654	0.0003	7.1024e+04	7.5406e+01	13.2229	0.0012	4.9907e+04	3.7664e+01	13.0165	0.0008	0.2064			8984.33	0.5357	0.2965		
005.7841252999582	-00.6031543414376	005.78412531157	0.0252	-00.60319693495	0.0184	2542199118258564096	1.2279	0.0341	0.003	0.075	-9.893	0.038	1	7.0740e+04	1.3207e+01	13.5642	0.0002	3.7660e+04	3.1319e+01	13.9117	0.0009	4.7644e+04	4.1497e+01	13.0669	0.0009	0.8448			5742.00	0.4245	0.2122	1.38	1.857
