region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
R4_NE,1,2816033279429179776,345.3501563178,14.2545682151,23:01:24.0,+14:15:16.4,345.3501608180,14.2546038010,-1.46080,-11.91848,13.0209,13.3380,12.4971
R4_NE,2,2816043617414822784,345.2626965918,14.2386667533,23:01:03.0,+14:14:19.2,345.2626901942,14.2386966776,2.07687,-10.02229,13.2966,13.5941,12.7691
R4_NE,3,2816043514335607168,345.3167287700,14.2422482991,23:01:16.0,+14:14:32.1,345.3165394129,14.2423895853,61.47039,-47.31971,13.3093,14.2417,12.3537
R4_NE,4,2816041422687123456,345.0827351026,14.2429979178,23:00:19.9,+14:14:34.8,345.0826783527,14.2430100680,18.42250,-4.06937,13.3745,13.6607,12.9244
R4_NE,5,2815944425145554048,344.9400595125,14.0767805409,22:59:45.6,+14:04:36.4,344.9400428797,14.0767885470,5.40337,-2.68139,13.3860,13.6810,12.9303
R4_NE,6,2816031870679908864,345.3999869311,14.1855787869,23:01:36.0,+14:11:08.1,345.4000187623,14.1855882998,-10.33587,-3.18606,13.4891,13.8136,12.9982
R4_NE,7,2816037363942441984,345.0912643142,14.1464030551,23:00:21.9,+14:08:47.1,345.0912875806,14.1464611798,-7.55612,-19.46716,13.5456,14.0058,12.9211
R4_NE,8,2816019191936455424,345.3747859737,14.0006606719,23:01:29.9,+14:00:02.4,345.3747372488,14.0006497468,15.83421,3.65904,13.5638,13.9566,13.0063
R4_NE,9,2815944906181890048,344.9243862474,14.1279459257,22:59:41.9,+14:07:40.6,344.9244044002,14.1279599312,-5.89587,-4.69075,13.6616,14.0584,13.1037
R4_NE,10,2815923053388298368,345.1019491685,13.8511701217,23:00:24.5,+13:51:04.2,345.1019174999,13.8511964711,10.29805,-8.82496,13.7369,14.1247,13.1841
R4_NE,11,2816043862228595072,345.2738950813,14.2799363672,23:01:05.7,+14:16:47.8,345.2739043898,14.2799364606,-3.02129,-0.03130,13.7649,14.1132,13.2519
R4_NE,12,2816019844771439488,345.2948465470,14.0084639321,23:01:10.8,+14:00:30.5,345.2948458961,14.0084753112,0.21151,-3.81112,13.8196,14.1972,13.2697
R4_NE,13,2816048432073748608,345.1249217576,14.3173928049,23:00:30.0,+14:19:02.6,345.1249398120,14.3173903388,-5.85899,0.82594,13.8251,14.1759,13.3110
R4_NE,14,2816038639548292736,344.9946624052,14.1455982683,22:59:58.7,+14:08:44.2,344.9946853835,14.1456706646,-7.46255,-24.24703,13.8365,14.1961,13.3095
R4_NE,15,2816025101811404288,345.2490156680,14.1469129051,23:00:59.8,+14:08:48.9,345.2488598968,14.1469822163,50.58881,-23.21377,13.8488,14.3089,13.2319
R4_NE,16,2816087670894941568,344.8971013264,14.2438121148,22:59:35.3,+14:14:37.7,344.8970996307,14.2438175404,0.55046,-1.81715,13.8530,14.1880,13.3550
R4_NE,17,2816047573080290176,345.1234861572,14.2988370352,23:00:29.6,+14:17:55.8,345.1234847650,14.2989036736,0.45183,-22.31861,13.8575,14.3057,13.2433
R4_NE,18,2816019191936455680,345.3727459095,13.9952377510,23:01:29.5,+13:59:42.9,345.3726928905,13.9952390537,17.23009,-0.43627,13.8701,14.1755,13.3983
R4_NE,19,2816019191936455936,345.3798579469,13.9954404382,23:01:31.2,+13:59:43.6,345.3798613900,13.9954618736,-1.11893,-7.17917,13.8941,14.4075,13.2254
R4_NE,20,2816042865796139392,345.2239333899,14.1850195003,23:00:53.7,+14:11:06.1,345.2239038880,14.1850738064,9.57954,-18.18825,13.8969,14.2618,13.1805
