region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
R3_NW,1,2560590924133005440,24.8799900369,3.3322576759,01:39:31.2,+03:19:56.1,24.8799690511,3.3322566099,7.01670,0.35702,13.0886,13.3779,12.6367
R3_NW,2,2560396997769556864,25.0454648928,3.1454242850,01:40:10.9,+03:08:43.5,25.0454623125,3.1454183153,0.86291,1.99937,13.1769,13.5259,12.6622
R3_NW,3,2560400051490796032,24.9500377958,3.1646674183,01:39:48.0,+03:09:52.8,24.9500159573,3.1647145807,7.30303,-15.79568,13.2182,13.5574,12.7066
R3_NW,4,2560382807197613824,25.1837711315,3.0498755926,01:40:44.1,+03:02:59.6,25.1837776175,3.0499977827,-2.16920,-40.92405,13.2203,13.6592,12.6194
R3_NW,5,2558884310288100864,24.7172477837,2.8895820492,01:38:52.1,+02:53:22.5,24.7171726933,2.8896056164,25.11735,-7.89314,13.2323,13.5889,12.7124
R3_NW,6,2560380505095146752,25.0938975791,2.9522039484,01:40:22.5,+02:57:07.9,25.0939120184,2.9522220992,-4.82962,-6.07908,13.4442,13.7413,12.9856
R3_NW,7,2560369368244736512,25.0434986921,2.8124456752,01:40:10.4,+02:48:44.8,25.0435278622,2.8124961781,-9.75788,-16.91446,13.4661,13.7628,13.0072
R3_NW,8,2560401258377112704,24.9115994676,3.2154215091,01:39:38.8,+03:12:55.5,24.9116395828,3.2154639407,-13.41430,-14.21123,13.4996,13.8587,12.9758
R3_NW,9,2560397959842216704,24.8682305166,3.1111258175,01:39:28.4,+03:06:40.1,24.8682539747,3.1111625797,-7.84501,-12.31244,13.5116,13.7977,13.0598
R3_NW,10,2560394489508642688,24.9398664381,3.0683160525,01:39:45.6,+03:04:05.9,24.9398678423,3.0683355223,-0.46962,-6.52085,13.6118,13.7731,13.3139
R3_NW,11,2560394180270997120,24.9925298427,3.0730445647,01:39:58.2,+03:04:23.0,24.9925027151,3.0730656846,9.07253,-7.07348,13.6421,14.0334,13.0889
R3_NW,12,2560395554660753792,25.0588018979,3.1008300475,01:40:14.1,+03:06:03.0,25.0587737195,3.1008550802,9.42371,-8.38398,13.6480,14.1755,12.9677
R3_NW,13,2560396138776097792,25.1099409948,3.1403471657,01:40:26.4,+03:08:25.2,25.1099266281,3.1403645129,4.80451,-5.80994,13.7546,14.1356,13.2105
R3_NW,14,2560389163749191808,24.6972971802,2.9587148326,01:38:47.4,+02:57:31.4,24.6971921505,2.9587570501,35.12976,-14.13954,13.8318,14.2982,13.2070
R3_NW,15,2560383116435258368,25.1763454937,3.0645327503,01:40:42.3,+03:03:52.3,25.1762001324,3.0645765244,48.61494,-14.66083,13.8663,14.5308,13.0827
R3_NW,16,2558883451294642048,24.7303722529,2.8631368867,01:38:55.3,+02:51:47.3,24.7302574072,2.8631011242,38.41624,11.97761,13.9244,14.3186,13.3641
R3_NW,17,2560383322593690112,25.0873252397,3.0415606352,01:40:21.0,+03:02:29.6,25.0873173240,3.0415727225,2.64741,-4.04828,13.9293,14.2330,13.4715
R3_NW,18,2560382085643108736,25.0401884138,3.0470680767,01:40:09.6,+03:02:49.4,25.0401665027,3.0470937109,7.32813,-8.58542,13.9586,14.2786,13.4728
R3_NW,19,2560578898224555904,24.6400500604,3.0794146655,01:38:33.6,+03:04:45.9,24.6399630411,3.0794719450,29.10250,-19.18411,14.1560,14.4646,13.6758
R3_NW,20,2560389709209844608,24.7431038469,3.0001631138,01:38:58.3,+03:00:00.6,24.7430699539,3.0001957809,11.33593,-10.94089,14.1755,14.5993,13.5834
