region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
R1_SW,1,2815876392863501952,344.5991087390,13.3242191610,22:58:23.8,+13:19:27.2,344.5991461620,13.3242671958,-12.19635,-16.08786,13.0810,13.3707,12.6282
R1_SW,2,2815881198931302528,344.4159003221,13.3847695748,22:57:39.8,+13:23:05.2,344.4159097492,13.3848320048,-3.07157,-20.90912,13.1352,14.2034,12.1056
R1_SW,3,2815929684817753216,344.6813306310,13.7813271429,22:58:43.5,+13:46:52.8,344.6813332787,13.7813446896,-0.86124,-5.87677,13.1776,13.7034,12.5037
R1_SW,4,2815915803483477760,344.8340020954,13.6772917459,22:59:20.2,+13:40:38.3,344.8339990727,13.6773167996,0.98365,-8.39102,13.2033,13.7572,12.5043
R1_SW,5,2815948788832232192,344.3162757168,13.6827999434,22:57:15.9,+13:40:58.1,344.3162729826,13.6828307535,0.88977,-10.31897,13.2040,13.5365,12.7109
R1_SW,6,2815885773072112256,344.6764405788,13.4741824231,22:58:42.3,+13:28:27.1,344.6764479355,13.4741947918,-2.39608,-4.14254,13.2326,13.5290,12.7706
R1_SW,7,2815878317008888832,344.6275508959,13.3849490588,22:58:30.6,+13:23:05.8,344.6275045680,13.3850230528,15.09471,-24.78216,13.2929,13.7249,12.6958
R1_SW,8,2815889823225629824,344.6690834823,13.5640390959,22:58:40.6,+13:33:50.5,344.6690970820,13.5640667050,-4.42777,-9.24688,13.3152,13.6334,12.8383
R1_SW,9,2815877659878251008,344.5012069919,13.3631527081,22:58:00.3,+13:21:47.3,344.5011953500,13.3631504378,3.79353,0.76038,13.3306,13.6489,12.8462
R1_SW,10,2815916795620255872,344.7653014656,13.7323375688,22:59:03.7,+13:43:56.4,344.7653405346,13.7323796073,-12.71100,-14.07957,13.3617,13.6856,12.8587
R1_SW,11,2815883986365676928,344.5187846467,13.4915402596,22:58:04.5,+13:29:29.5,344.5187067990,13.4915358853,25.35333,1.46504,13.4513,13.8236,12.9123
R1_SW,12,2815884226883856896,344.5247752771,13.5161717720,22:58:05.9,+13:30:58.2,344.5247847805,13.5161852265,-3.09474,-4.50621,13.4572,13.9715,12.7913
R1_SW,13,2815902506264692608,344.5409443471,13.6086812489,22:58:09.8,+13:36:31.3,344.5409834759,13.6086795393,-12.73713,0.57260,13.5059,13.2713,12.4482
R1_SW,14,2815948376515372416,344.2912886814,13.6586905936,22:57:09.9,+13:39:31.3,344.2912753808,13.6586950359,4.32870,-1.48783,13.5331,14.1063,12.8156
R1_SW,15,2815928482226933120,344.7133937666,13.7270445668,22:58:51.2,+13:43:37.4,344.7134178651,13.7270596512,-7.84058,-5.05206,13.5958,13.9337,13.0932
R1_SW,16,2815933533108468096,344.6877366832,13.8476774756,22:58:45.1,+13:50:51.6,344.6876928098,13.8476699166,14.26705,2.53166,13.5994,14.0314,13.0081
R1_SW,17,2815955141088263424,344.3443427732,13.7371524566,22:57:22.6,+13:44:13.7,344.3443609069,13.7371719263,-5.89964,-6.52081,13.7295,14.2603,13.0456
R1_SW,18,2815933155151311104,344.6080614073,13.8226913699,22:58:25.9,+13:49:21.7,344.6080640661,13.8227148656,-0.86470,-7.86920,13.7843,14.0652,13.3485
R1_SW,19,2815905873519049216,344.5778837851,13.7303967578,22:58:18.7,+13:43:49.4,344.5778537325,13.7303808763,9.77764,5.31902,13.8541,14.2372,13.3035
R1_SW,20,2815894603524829696,344.3266925745,13.4911903585,22:57:18.4,+13:29:28.3,344.3266983724,13.4911894549,-1.88825,0.30262,13.9369,14.2201,13.4915
