region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
R1_SW,1,2558854863992304896,24.6480590683,2.4823793095,01:38:35.5,+02:28:56.6,24.6480730757,2.4824365246,-4.68697,-19.16254,13.1909,13.5570,12.6571
R1_SW,2,2558790817440235904,25.0149611572,2.3065107977,01:40:03.6,+02:18:23.4,25.0149637363,2.3065533432,-0.86310,-14.24940,13.5235,13.9289,12.9558
R1_SW,3,2558866408864414208,24.8158889722,2.6991384849,01:39:15.8,+02:41:56.9,24.8159086317,2.6991320382,-6.57710,2.15915,13.5607,13.8565,13.0951
R1_SW,4,2558813421852170368,24.9763030006,2.5271509028,01:39:54.3,+02:31:37.7,24.9762895957,2.5271523223,4.48521,-0.47542,13.6303,13.9166,13.1747
R1_SW,5,2558803702341901440,24.8886653041,2.3702351128,01:39:33.3,+02:22:12.8,24.8886090412,2.3703022032,18.82751,-22.46999,13.8248,14.3723,13.1305
R1_SW,6,2558816140567184896,24.8895034165,2.5824490618,01:39:33.5,+02:34:56.8,24.8893158449,2.5824971189,62.75785,-16.09531,13.8694,14.4573,13.1448
R1_SW,7,2558800678684938368,25.1694227186,2.4942589642,01:40:40.7,+02:29:39.3,25.1694122055,2.4943032216,3.51773,-14.82271,13.9209,14.2990,13.3817
R1_SW,8,2560316114945452800,25.1227766493,2.6671580866,01:40:29.5,+02:40:01.8,25.1227933875,2.6671996731,-5.59990,-13.92818,13.9259,14.9845,12.8867
R1_SW,9,2558812842032319488,25.1161762602,2.5512564267,01:40:27.9,+02:33:04.5,25.1161394409,2.5512773631,12.31933,-7.01204,14.0662,14.5779,13.3985
R1_SW,10,2558818369654494336,24.9459735603,2.6400040443,01:39:47.0,+02:38:24.0,24.9459645301,2.6400059434,3.02120,-0.63604,14.1171,14.3969,13.6748
R1_SW,11,2558810436850637568,25.0170404149,2.4407170656,01:40:04.1,+02:26:26.6,25.0169869372,2.4406846801,17.89456,10.84659,14.2541,14.6978,13.6399
R1_SW,12,2558856478900031616,24.7146585378,2.5222500990,01:38:51.5,+02:31:20.1,24.7146698756,2.5222721192,-3.79358,-7.37501,14.3017,14.6758,13.7593
R1_SW,13,2558857337893464064,24.6685198947,2.5353794205,01:38:40.4,+02:32:07.4,24.6684875749,2.5353983104,10.81402,-6.32661,14.3779,14.8327,13.7532
R1_SW,14,2560366795559523200,24.9678922095,2.6995488149,01:39:52.3,+02:41:58.4,24.9678694794,2.6996328457,7.60431,-28.14369,14.3852,14.8008,13.8002
R1_SW,15,2558868710966885248,24.7119996018,2.7002497559,01:38:50.9,+02:42:00.9,24.7119799167,2.7002769844,6.58561,-9.11939,14.4137,14.8349,13.8321
R1_SW,16,2558788927654405632,24.9144843641,2.2683248846,01:39:39.5,+02:16:06.0,24.9145088840,2.2683596888,-8.20579,-11.65667,14.5381,14.8924,14.0160
R1_SW,17,2558870360234325120,24.7541347906,2.7375415091,01:39:01.0,+02:44:15.1,24.7540102995,2.7375638857,41.64711,-7.49441,14.5429,14.8670,14.0409
R1_SW,18,2558856788137676544,24.7456465053,2.5349620308,01:38:59.0,+02:32:05.9,24.7456762888,2.5349811841,-9.96537,-6.41485,14.5981,15.0406,13.9799
R1_SW,19,2558815350293205376,24.8338375726,2.5072254666,01:39:20.1,+02:30:26.0,24.8338530913,2.5072320303,-5.19255,-2.19833,14.6130,14.9033,14.1526
R1_SW,20,2558869913557726080,24.8565988172,2.7485954498,01:39:25.6,+02:44:54.9,24.8565821086,2.7485948691,5.58964,0.19450,14.6168,14.9408,14.1250
