region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
R2_SE,1,2815159064605859456,344.9403632330,13.5052181640,22:59:45.7,+13:30:18.8,344.9404781248,13.5052817488,-37.41565,-21.29586,13.0122,13.4637,12.3970
R2_SE,2,2815140475987461760,345.2561988688,13.4038986868,23:01:01.5,+13:24:14.0,345.2562045682,13.4039586930,-1.85685,-20.09735,13.1053,13.5004,12.5437
R2_SE,3,2815157685920615296,345.0968560145,13.5301378572,23:00:23.2,+13:31:48.5,345.0967919639,13.5301951146,20.85655,-19.17671,13.1144,13.5010,12.5602
R2_SE,4,2815915803483477760,344.8340020954,13.6772917459,22:59:20.2,+13:40:38.3,344.8339990727,13.6773167996,0.98365,-8.39102,13.2033,13.7572,12.5043
R2_SE,5,2815165451221484288,345.3069051863,13.6534303308,23:01:13.7,+13:39:12.3,345.3069107110,13.6534438681,-1.79807,-4.53395,13.2688,13.7904,12.5915
R2_SE,6,2815924217324639744,344.9997522878,13.8204800781,23:00:00.0,+13:49:13.7,344.9997128516,13.8205294954,12.82563,-16.55092,13.2994,14.0275,12.4762
R2_SE,7,2815170609478037504,345.2581746763,13.7778637601,23:01:02.0,+13:46:40.3,345.2581989344,13.7779016630,-7.89078,-12.69448,13.3632,13.7399,12.8119
R2_SE,8,2815167139144463616,345.3231257900,13.7357507241,23:01:17.6,+13:44:08.7,345.3231182494,13.7357940339,2.45328,-14.50537,13.4353,13.9322,12.7768
R2_SE,9,2815167723259976704,345.1686111316,13.6687333114,23:00:40.5,+13:40:07.4,345.1686087527,13.6687423141,0.77418,-3.01519,13.4835,13.8204,12.9778
R2_SE,10,2815135631264292352,344.9117312368,13.4945375122,22:59:38.8,+13:29:40.3,344.9117358475,13.4945732111,-1.50158,-11.95630,13.4931,13.8277,12.9961
R2_SE,11,2815151608542714240,345.2851594033,13.5806122580,23:01:08.4,+13:34:50.2,345.2851408880,13.5806397406,6.02777,-9.20448,13.4957,13.8799,12.9407
R2_SE,12,2815142881169145600,345.1637654899,13.4234593062,23:00:39.3,+13:25:24.5,345.1637898972,13.4234815375,-7.95119,-7.44574,13.5438,14.0337,12.8928
R2_SE,13,2815914257295251584,344.9261273857,13.7032439101,22:59:42.3,+13:42:11.7,344.9260909028,13.7032576576,11.87110,-4.60434,13.5572,13.9486,12.9997
R2_SE,14,2815920923084520960,345.0385585708,13.7842117840,23:00:09.3,+13:47:03.2,345.0385271539,13.7842287059,10.21914,-5.66747,13.5612,14.0594,12.8987
R2_SE,15,2815143740162604672,345.2027534159,13.4477201357,23:00:48.7,+13:26:51.8,345.2027342849,13.4477397178,6.23170,-6.55847,13.5860,14.0311,12.9742
R2_SE,16,2815156762503442432,345.1828055488,13.5130782236,23:00:43.9,+13:30:47.1,345.1826505361,13.5131817591,50.47978,-34.67622,13.6444,14.0869,13.0414
R2_SE,17,2815169338167677824,345.1464314372,13.7358973923,23:00:35.1,+13:44:09.2,345.1463767493,13.7360462600,17.79228,-49.85890,13.6930,14.2650,12.9817
R2_SE,18,2815923053388298368,345.1019491685,13.8511701217,23:00:24.5,+13:51:04.2,345.1019174999,13.8511964711,10.29805,-8.82496,13.7369,14.1247,13.1841
R2_SE,19,2815145286350828800,345.2598142582,13.5291312719,23:01:02.4,+13:31:44.9,345.2597918760,13.5291497092,7.28825,-6.17505,13.7524,14.1042,13.2288
R2_SE,20,2815157346618992896,345.1994537258,13.5608728657,23:00:47.9,+13:33:39.1,345.1994444662,13.5608742574,3.01478,-0.46610,13.7650,14.0976,13.2650
