region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
CFG09,1,2558854863992304896,24.6480590683,2.4823793095,01:38:35.53,+02:28:56.57,24.6480730757,2.4824365246,-4.68697,-19.16254,13.1909,13.5570,12.6571
CFG09,2,2558880805594762112,24.6677809259,2.7417268495,01:38:40.27,+02:44:30.22,24.6677640497,2.7417436657,5.64571,-5.63210,13.2690,13.6019,12.7704
CFG09,3,2558858540484535936,24.5144236599,2.5022289611,01:38:03.46,+02:30:08.02,24.5143848539,2.5022483775,12.98458,-6.50295,13.4525,13.9507,12.7908
CFG09,4,2558783155218332800,24.6343775358,2.3595086173,01:38:32.25,+02:21:34.23,24.6343233489,2.3595068208,18.13295,0.60170,13.5466,14.4252,12.6256
CFG09,5,2558866408864414208,24.8158889722,2.6991384849,01:39:15.81,+02:41:56.90,24.8159086317,2.6991320382,-6.57710,2.15915,13.5607,13.8565,13.0951
CFG09,6,2558813421852170368,24.9763030006,2.5271509028,01:39:54.31,+02:31:37.74,24.9762895957,2.5271523223,4.48521,-0.47542,13.6303,13.9166,13.1747
CFG09,7,2558803702341901440,24.8886653041,2.3702351128,01:39:33.28,+02:22:12.85,24.8886090412,2.3703022032,18.82751,-22.46999,13.8248,14.3723,13.1305
CFG09,8,2558816140567184896,24.8895034165,2.5824490618,01:39:33.48,+02:34:56.82,24.8893158449,2.5824971189,62.75785,-16.09531,13.8694,14.4573,13.1448
CFG09,9,2558818369654494336,24.9459735603,2.6400040443,01:39:47.03,+02:38:24.01,24.9459645301,2.6400059434,3.02120,-0.63604,14.1171,14.3969,13.6748
CFG09,10,2558810436850637568,25.0170404149,2.4407170656,01:40:04.09,+02:26:26.58,25.0169869372,2.4406846801,17.89456,10.84659,14.2541,14.6978,13.6399
CFG09,11,2558856478900031616,24.7146585378,2.5222500990,01:38:51.52,+02:31:20.10,24.7146698756,2.5222721192,-3.79358,-7.37501,14.3017,14.6758,13.7593
CFG09,12,2558857337893464064,24.6685198947,2.5353794205,01:38:40.44,+02:32:07.37,24.6684875749,2.5353983104,10.81402,-6.32661,14.3779,14.8327,13.7532
CFG09,13,2560366795559523200,24.9678922095,2.6995488149,01:39:52.29,+02:41:58.38,24.9678694794,2.6996328457,7.60431,-28.14369,14.3852,14.8008,13.8002
CFG09,14,2558868710966885248,24.7119996018,2.7002497559,01:38:50.88,+02:42:00.90,24.7119799167,2.7002769844,6.58561,-9.11939,14.4137,14.8349,13.8321
CFG09,15,2558855104510474240,24.5993369599,2.4558124547,01:38:23.84,+02:27:20.92,24.5993397459,2.4558030464,-0.93224,3.15103,14.4387,14.6921,14.0280
CFG09,16,2558870360234325120,24.7541347906,2.7375415091,01:39:00.99,+02:44:15.15,24.7540102995,2.7375638857,41.64711,-7.49441,14.5429,14.8670,14.0409
CFG09,17,2558860189751747584,24.5140095322,2.5705044959,01:38:03.36,+02:34:13.82,24.5139367833,2.5704897315,24.34062,4.94492,14.5902,14.9743,14.0362
CFG09,18,2558856788137676544,24.7456465053,2.5349620308,01:38:58.96,+02:32:05.86,24.7456762888,2.5349811841,-9.96537,-6.41485,14.5981,15.0406,13.9799
CFG09,19,2558815350293205376,24.8338375726,2.5072254666,01:39:20.12,+02:30:26.01,24.8338530913,2.5072320303,-5.19255,-2.19833,14.6130,14.9033,14.1526
CFG09,20,2558869913557726080,24.8565988172,2.7485954498,01:39:25.58,+02:44:54.94,24.8565821086,2.7485948691,5.58964,0.19450,14.6168,14.9408,14.1250
