region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
CFG05,1,2815941779445693056,344.8254803623,13.9656753840,22:59:18.12,+13:57:56.43,344.8254709249,13.9656806527,3.06736,-1.76462,13.1755,13.7362,12.4645
CFG05,2,2815915803483477760,344.8340020954,13.6772917459,22:59:20.16,+13:40:38.25,344.8339990727,13.6773167996,0.98365,-8.39102,13.2033,13.7572,12.5043
CFG05,3,2815924217324639744,344.9997522878,13.8204800781,22:59:59.94,+13:49:13.73,344.9997128516,13.8205294954,12.82563,-16.55092,13.2994,14.0275,12.4762
CFG05,4,2815170609478037504,345.2581746763,13.7778637601,23:01:01.96,+13:46:40.31,345.2581989344,13.7779016630,-7.89078,-12.69448,13.3632,13.7399,12.8119
CFG05,5,2815944425145554048,344.9400595125,14.0767805409,22:59:45.61,+14:04:36.41,344.9400428797,14.0767885470,5.40337,-2.68139,13.3860,13.6810,12.9303
CFG05,6,2815167139144463616,345.3231257900,13.7357507241,23:01:17.55,+13:44:08.70,345.3231182494,13.7357940339,2.45328,-14.50537,13.4353,13.9322,12.7768
CFG05,7,2815167723259976704,345.1686111316,13.6687333114,23:00:40.47,+13:40:07.44,345.1686087527,13.6687423141,0.77418,-3.01519,13.4835,13.8204,12.9778
CFG05,8,2815930853048878336,344.8053863654,13.8174554232,22:59:13.29,+13:49:02.84,344.8054513756,13.8175263882,-21.14320,-23.76767,13.5170,13.8612,13.0034
CFG05,9,2815914257295251584,344.9261273857,13.7032439101,22:59:42.27,+13:42:11.68,344.9260909028,13.7032576576,11.87110,-4.60434,13.5572,13.9486,12.9997
CFG05,10,2815920923084520960,345.0385585708,13.7842117840,23:00:09.25,+13:47:03.16,345.0385271539,13.7842287059,10.21914,-5.66747,13.5612,14.0594,12.8987
CFG05,11,2815169338167677824,345.1464314372,13.7358973923,23:00:35.14,+13:44:09.23,345.1463767493,13.7360462600,17.79228,-49.85890,13.6930,14.2650,12.9817
CFG05,12,2815923053388298368,345.1019491685,13.8511701217,23:00:24.47,+13:51:04.21,345.1019174999,13.8511964711,10.29805,-8.82496,13.7369,14.1247,13.1841
CFG05,13,2815161675946054912,345.1277193639,13.6191450269,23:00:30.65,+13:37:08.92,345.1276923274,13.6191736582,8.80046,-9.58923,13.7913,14.2046,13.2064
CFG05,14,2816019844771439488,345.2948465470,14.0084639321,23:01:10.76,+14:00:30.47,345.2948458961,14.0084753112,0.21151,-3.81112,13.8196,14.1972,13.2697
CFG05,15,2815164905761461632,345.2300172427,13.6530606408,23:00:55.20,+13:39:11.02,345.2300360354,13.6531099075,-6.11621,-16.50045,13.8216,14.3082,13.1828
CFG05,16,2815915975282168832,344.8641353770,13.7066304838,22:59:27.39,+13:42:23.87,344.8641247397,13.7066329859,3.46122,-0.83802,13.9052,14.6625,13.0604
CFG05,17,2815923534424643584,345.1538539630,13.8836971511,23:00:36.92,+13:53:01.31,345.1538592270,13.8837080811,-1.71153,-3.66068,13.9110,14.2289,13.4278
CFG05,18,2815916044001645312,344.8595725754,13.7232052833,22:59:26.30,+13:43:23.54,344.8594906118,13.7231868689,26.66769,6.16738,13.9182,14.3587,13.3027
CFG05,19,2816035134854979584,345.0298822533,14.0723334503,23:00:07.17,+14:04:20.40,345.0299213816,14.0723168511,-12.71160,5.55942,13.9352,14.3122,13.3910
CFG05,20,2815171227953320192,345.1630747972,13.7851194421,23:00:39.14,+13:47:06.43,345.1630883884,13.7851285456,-4.42085,-3.04895,13.9374,14.2941,13.3751
