region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
CFG04,1,2815985622471793792,344.4390792832,13.9463285295,22:57:45.38,+13:56:46.78,344.4390263745,13.9462776148,17.19788,17.05240,13.1350,13.4436,12.6614
CFG04,2,2815941779445693056,344.8254803623,13.9656753840,22:59:18.12,+13:57:56.43,344.8254709249,13.9656806527,3.06736,-1.76462,13.1755,13.7362,12.4645
CFG04,3,2815929684817753216,344.6813306310,13.7813271429,22:58:43.52,+13:46:52.78,344.6813332787,13.7813446896,-0.86124,-5.87677,13.1776,13.7034,12.5037
CFG04,4,2815991669785781376,344.6983545372,14.1015056921,22:58:47.61,+14:06:05.42,344.6983385507,14.1015057985,5.19289,-0.03561,13.3038,13.7300,12.7072
CFG04,5,2815916795620255872,344.7653014656,13.7323375688,22:59:03.67,+13:43:56.42,344.7653405346,13.7323796073,-12.71100,-14.07957,13.3617,13.6856,12.8587
CFG04,6,2815986653263942784,344.4836654919,14.0341596929,22:57:56.08,+14:02:02.97,344.4836594696,14.0341858924,1.95679,-8.77474,13.3955,13.8094,12.8136
CFG04,7,2815943596216180992,344.7915207626,14.0534669067,22:59:09.96,+14:03:12.48,344.7915172166,14.0534758412,1.15209,-2.99233,13.5006,13.8061,13.0228
CFG04,8,2815943772310517120,344.7772764204,14.0765305805,22:59:06.55,+14:04:35.51,344.7772778032,14.0765045636,-0.44921,8.71358,13.5165,13.8204,13.0478
CFG04,9,2815930853048878336,344.8053863654,13.8174554232,22:59:13.29,+13:49:02.84,344.8054513756,13.8175263882,-21.14320,-23.76767,13.5170,13.8612,13.0034
CFG04,10,2815991291828659840,344.6967640369,14.0901041730,22:58:47.22,+14:05:24.38,344.6968127042,14.0901506677,-15.80929,-15.57205,13.5906,13.9221,13.0923
CFG04,11,2815928482226933120,344.7133937666,13.7270445668,22:58:51.21,+13:43:37.36,344.7134178651,13.7270596512,-7.84058,-5.05206,13.5958,13.9337,13.0932
CFG04,12,2815933533108468096,344.6877366832,13.8476774756,22:58:45.06,+13:50:51.64,344.6876928098,13.8476699166,14.26705,2.53166,13.5994,14.0314,13.0081
CFG04,13,2815955141088263424,344.3443427732,13.7371524566,22:57:22.64,+13:44:13.75,344.3443609069,13.7371719263,-5.89964,-6.52081,13.7295,14.2603,13.0456
CFG04,14,2815991223109182848,344.6600306157,14.0789929759,22:58:38.41,+14:04:44.37,344.6600227777,14.0790165678,2.54624,-7.90140,13.7334,14.1416,13.1622
CFG04,15,2815933155151311104,344.6080614073,13.8226913699,22:58:25.93,+13:49:21.69,344.6080640661,13.8227148656,-0.86470,-7.86920,13.7843,14.0652,13.3485
CFG04,16,2815983045491416576,344.5597392115,13.9747220107,22:58:14.34,+13:58:29.00,344.5597014342,13.9747418363,12.27791,-6.64002,13.8334,14.1832,13.3224
CFG04,17,2815905873519049216,344.5778837851,13.7303967578,22:58:18.69,+13:43:49.43,344.5778537325,13.7303808763,9.77764,5.31902,13.8541,14.2372,13.3035
CFG04,18,2815983148570631552,344.5043151806,13.9659607492,22:58:01.04,+13:57:57.46,344.5042204467,13.9659623034,30.79043,-0.52052,13.8558,14.1907,13.3527
CFG04,19,2815988439970374144,344.5609333355,14.0672131262,22:58:14.62,+14:04:01.97,344.5609290917,14.0672156080,1.37869,-0.83118,13.8725,14.1053,13.3922
CFG04,20,2815957791083719040,344.4975669206,13.8606924170,22:57:59.42,+13:51:38.49,344.4975853209,13.8606693094,-5.98320,7.73923,13.9563,14.3464,13.4009
