region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
CFG06,1,2815996514508887296,344.6256845256,14.2267423068,22:58:30.16,+14:13:36.27,344.6255892259,14.2268039381,30.93898,-20.64163,13.1314,13.4729,12.6227
CFG06,2,2815941779445693056,344.8254803623,13.9656753840,22:59:18.12,+13:57:56.43,344.8254709249,13.9656806527,3.06736,-1.76462,13.1755,13.7362,12.4645
CFG06,3,2816093615129684608,344.9034709400,14.3707123525,22:59:36.83,+14:22:14.56,344.9035038416,14.3707133805,-10.67463,-0.34428,13.2360,13.7284,12.5678
CFG06,4,2816101689668211968,344.9600135281,14.4944922884,22:59:50.40,+14:29:40.17,344.9600371132,14.4945092496,-7.64773,-5.68067,13.2459,13.6290,12.7011
CFG06,5,2816107835765821440,344.7885317684,14.4782226039,22:59:09.25,+14:28:41.60,344.7884981889,14.4782210570,10.88930,0.51809,13.2533,13.5424,12.8014
CFG06,6,2816094504187339264,344.8545454969,14.3794390739,22:59:25.09,+14:22:45.98,344.8545004883,14.3793921486,14.60209,15.71627,13.2922,13.8626,12.5808
CFG06,7,2816092889279636992,344.7770648641,14.3455047458,22:59:06.50,+14:20:43.82,344.7770896456,14.3455427543,-8.04104,-12.72985,13.2924,13.8147,12.6143
CFG06,8,2815991669785781376,344.6983545372,14.1015056921,22:58:47.61,+14:06:05.42,344.6983385507,14.1015057985,5.19289,-0.03561,13.3038,13.7300,12.7072
CFG06,9,2816041422687123456,345.0827351026,14.2429979178,23:00:19.86,+14:14:34.79,345.0826783527,14.2430100680,18.42250,-4.06937,13.3745,13.6607,12.9244
CFG06,10,2815944425145554048,344.9400595125,14.0767805409,22:59:45.61,+14:04:36.41,344.9400428797,14.0767885470,5.40337,-2.68139,13.3860,13.6810,12.9303
CFG06,11,2816101582293437184,344.9292696402,14.5020619337,22:59:43.02,+14:30:07.42,344.9292441382,14.5020687802,8.26901,-2.29303,13.4059,13.7091,12.9433
CFG06,12,2816094091870477440,344.9665368945,14.3996921530,22:59:51.97,+14:23:58.89,344.9665279813,14.3997002429,2.89143,-2.70949,13.4904,13.8301,12.9937
CFG06,13,2815943596216180992,344.7915207626,14.0534669067,22:59:09.96,+14:03:12.48,344.7915172166,14.0534758412,1.15209,-2.99233,13.5006,13.8061,13.0228
CFG06,14,2815943772310517120,344.7772764204,14.0765305805,22:59:06.55,+14:04:35.51,344.7772778032,14.0765045636,-0.44921,8.71358,13.5165,13.8204,13.0478
CFG06,15,2816088358089707904,344.8362291767,14.2675254994,22:59:20.70,+14:16:03.09,344.8361964424,14.2675333867,10.62525,-2.64165,13.5171,13.8321,12.9378
CFG06,16,2816010876879546624,344.6608959977,14.3562476291,22:58:38.62,+14:21:22.49,344.6609241777,14.3562805408,-9.14334,-11.02284,13.5283,13.8040,13.0918
CFG06,17,2816037363942441984,345.0912643142,14.1464030551,23:00:21.90,+14:08:47.05,345.0912875806,14.1464611798,-7.55612,-19.46716,13.5456,14.0058,12.9211
CFG06,18,2815991291828659840,344.6967640369,14.0901041730,22:58:47.22,+14:05:24.38,344.6968127042,14.0901506677,-15.80929,-15.57205,13.5906,13.9221,13.0923
CFG06,19,2816104919483598848,344.7495354320,14.3722950105,22:58:59.89,+14:22:20.26,344.7494771346,14.3722959712,18.91395,-0.32176,13.6452,14.1112,12.9908
CFG06,20,2815944906181890048,344.9243862474,14.1279459257,22:59:41.85,+14:07:40.61,344.9244044002,14.1279599312,-5.89587,-4.69075,13.6616,14.0584,13.1037
